Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
IMN,105,2031,0.051698670605613,-1
CYM,79,2031,0.0388970950270802,-1
GBR,26,2031,0.0128015755785327,-1
USA,24,2031,0.0118168389955686,-1
IRL,14,2031,0.0068931560807483,-1
CHN,13,2031,0.0064007877892663,-1
JEY,12,2031,0.0059084194977843,-1
BMU,10,2031,0.0049236829148202,-1
VGB;IMN,9,2031,0.0044313146233382,-1
VGB,7,2031,0.0034465780403742,-1
MUS,7,2031,0.0034465780403742,-1
IMN;GBR,5,2031,0.0024618414574101,-1
GGY,5,2031,0.0024618414574101,-1
CHE,5,2031,0.0024618414574101,-1
CAN,4,2031,0.0019694731659281,-1
HKG,4,2031,0.0019694731659281,-1
MCO,3,2031,0.001477104874446,-1
GRC,3,2031,0.001477104874446,-1
IND,3,2031,0.001477104874446,-1
ISR,2,2031,0.000984736582964,-1
MEX,2,2031,0.000984736582964,-1
AUS,2,2031,0.000984736582964,-1
DEU,2,2031,0.000984736582964,-1
IMN;PAN,1,2031,0.000492368291482,-1
LVA,1,2031,0.000492368291482,-1
BMU;DEU;CHE;USA,1,2031,0.000492368291482,-1
ZAF,1,2031,0.000492368291482,-1
GIB,1,2031,0.000492368291482,-1
IRL;IMN,1,2031,0.000492368291482,-1
ARG;BHS,1,2031,0.000492368291482,-1
CAN;COL,1,2031,0.000492368291482,-1
IMN;CHE,1,2031,0.000492368291482,-1
CHN;HKG,1,2031,0.000492368291482,-1
DEU;NLD,1,2031,0.000492368291482,-1
BHS;GBR,1,2031,0.000492368291482,-1
CYP,1,2031,0.000492368291482,-1
ARE,1,2031,0.000492368291482,-1
TUR,1,2031,0.000492368291482,-1
PAK;ARE,1,2031,0.000492368291482,-1
PER,1,2031,0.000492368291482,-1
DEU;CHE,1,2031,0.000492368291482,-1
JPN,1,2031,0.000492368291482,-1
RUS,1,2031,0.000492368291482,-1
BHS,1,2031,0.000492368291482,-1
KEN,1,2031,0.000492368291482,-1
DOM;MEX;ESP,1,2031,0.000492368291482,-1
ZAF;GBR,1,2031,0.000492368291482,-1
SAU,1,2031,0.000492368291482,-1
MLT;GBR,1,2031,0.000492368291482,-1
GBR;USA,1,2031,0.000492368291482,-1
BHR,1,2031,0.000492368291482,-1
GUF,1,2031,0.000492368291482,-1
FRA,1,2031,0.000492368291482,-1
QAT,1,2031,0.000492368291482,-1
BMU;IMN,1,2031,0.000492368291482,-1
NGA;USA,1,2031,0.000492368291482,-1
LBN,1,2031,0.000492368291482,-1
JEY;GBR,1,2031,0.000492368291482,-1
CAN;GBR,1,2031,0.000492368291482,-1
JAM,1,2031,0.000492368291482,-1
TUR;USA,1,2031,0.000492368291482,-1
BRB,1,2031,0.000492368291482,-1
EGY,1,2031,0.000492368291482,-1
