Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Chardonnay,14482,150930,0.0959517657192075,-1
Pinot Noir,14291,150930,0.0946862784072086,-1
Cabernet Sauvignon,12800,150930,0.0848075266679917,-1
Red Blend,10062,150930,0.0666666666666666,-1
Bordeaux-style Red Blend,7347,150930,0.048678195189823,-1
Sauvignon Blanc,6320,150930,0.0418737162923209,-1
Syrah,5825,150930,0.0385940502219572,-1
Riesling,5524,150930,0.0365997482276552,-1
Merlot,5070,150930,0.0335917312661498,-1
Zinfandel,3799,150930,0.0251706088915391,-1
Sangiovese,3345,150930,0.0221625919300337,-1
Malbec,3208,150930,0.0212548863711654,-1
White Blend,2824,150930,0.0187106605711256,-1
Rosé,2817,150930,0.0186642814549791,-1
Tempranillo,2556,150930,0.0169350029815146,-1
Nebbiolo,2241,150930,0.0148479427549195,-1
Portuguese Red,2216,150930,0.014682303054396,-1
Sparkling Blend,2004,150930,0.0132776783939574,-1
Shiraz,1970,150930,0.0130524084012456,-1
"Corvina, Rondinella, Molinara",1682,150930,0.0111442390512157,-1
Rhône-style Red Blend,1505,150930,0.0099715099715099,-1
Pinot Gris,1365,150930,0.0090439276485788,-1
Barbera,1365,150930,0.0090439276485788,-1
Cabernet Franc,1363,150930,0.0090306764725369,-1
Sangiovese Grosso,1346,150930,0.008918041476181,-1
Pinot Grigio,1305,150930,0.0086463923673226,-1
Viognier,1263,150930,0.0083681176704432,-1
Bordeaux-style White Blend,1261,150930,0.0083548664944013,-1
Champagne Blend,1238,150930,0.0082024779699198,-1
Port,1058,150930,0.0070098721261511,-1
Grüner Veltliner,1042,150930,0.0069038627178162,-1
Gewürztraminer,982,150930,0.0065063274365599,-1
Portuguese White,941,150930,0.0062346783277015,-1
Petite Sirah,897,150930,0.0059431524547803,-1
Carmenère,761,150930,0.0050420724839329,-1
Tempranillo Blend,756,150930,0.0050089445438282,-1
Chenin Blanc,746,150930,0.0049426886636188,-1
Glera,622,150930,0.0041211157490227,-1
Grenache,603,150930,0.0039952295766249,-1
Prosecco,594,150930,0.0039355992844364,-1
Albariño,537,150930,0.003557940767243,-1
Gamay,535,150930,0.0035446895912012,-1
Pinot Blanc,470,150930,0.0031140263698403,-1
Nero d'Avola,458,150930,0.003034519313589,-1
Moscato,430,150930,0.0028490028490028,-1
Rhône-style White Blend,409,150930,0.0027098655005631,-1
Garganega,402,150930,0.0026634863844166,-1
Garnacha,401,150930,0.0026568607963956,-1
Torrontés,367,150930,0.0024315908036838,-1
Dolcetto,358,150930,0.0023719605114953,-1
Montepulciano,329,150930,0.0021798184588882,-1
Meritage,317,150930,0.0021003114026369,-1
Aglianico,317,150930,0.0021003114026369,-1
Verdejo,316,150930,0.002093685814616,-1
Cabernet Blend,305,150930,0.0020208043463857,-1
Primitivo,273,150930,0.0018087855297157,-1
Sauvignon,261,150930,0.0017292784734645,-1
Cabernet Sauvignon-Merlot,243,150930,0.0016100178890876,-1
Vermentino,232,150930,0.0015371364208573,-1
Blaufränkisch,227,150930,0.0015040084807526,-1
Tinta de Toro,221,150930,0.001464254952627,-1
Zweigelt,219,150930,0.0014510037765851,-1
Sémillon,216,150930,0.0014311270125223,-1
Petit Verdot,206,150930,0.0013648711323129,-1
Pinotage,200,150930,0.0013251176041873,-1
Roussanne,182,150930,0.0012058570198105,-1
Touriga Nacional,180,150930,0.0011926058437686,-1
Mourvèdre,174,150930,0.001152852315643,-1
Muscat,168,150930,0.0011130987875173,-1
Bonarda,152,150930,0.0010070893791824,-1
Cabernet Sauvignon-Syrah,151,150930,0.0010004637911614,-1
G-S-M,151,150930,0.0010004637911614,-1
Monastrell,150,150930,0.0009938382031405,-1
Grillo,150,150930,0.0009938382031405,-1
Fiano,149,150930,0.0009872126151195,-1
Mencía,148,150930,0.0009805870270986,-1
Tannat,140,150930,0.0009275823229311,-1
Friulano,137,150930,0.0009077055588683,-1
Pinot Nero,133,150930,0.0008812032067846,-1
Marsanne,128,150930,0.0008480752666799,-1
Pinot Bianco,126,150930,0.000834824090638,-1
Agiorgitiko,120,150930,0.0007950705625124,-1
Sagrantino,113,150930,0.0007486914463658,-1
Viura,110,150930,0.000728814682303,-1
Fumé Blanc,110,150930,0.000728814682303,-1
Malbec-Merlot,109,150930,0.0007221890942821,-1
Godello,103,150930,0.0006824355661564,-1
Sherry,103,150930,0.0006824355661564,-1
St. Laurent,102,150930,0.0006758099781355,-1
Prugnolo Gentile,99,150930,0.0006559332140727,-1
Melon,99,150930,0.0006559332140727,-1
Shiraz-Cabernet Sauvignon,97,150930,0.0006426820380308,-1
Greco,95,150930,0.000629430861989,-1
Shiraz-Viognier,91,150930,0.0006029285099052,-1
Falanghina,86,150930,0.0005698005698005,-1
Tempranillo-Cabernet Sauvignon,85,150930,0.0005631749817796,-1
Semillon-Sauvignon Blanc,85,150930,0.0005631749817796,-1
Cabernet Sauvignon-Shiraz,84,150930,0.0005565493937586,-1
Cortese,82,150930,0.0005432982177168,-1
Tinto del Pais,82,150930,0.0005432982177168,-1
Merlot-Cabernet Sauvignon,82,150930,0.0005432982177168,-1
Negroamaro,82,150930,0.0005432982177168,-1
Grenache Blanc,78,150930,0.000516795865633,-1
Alvarinho,77,150930,0.0005101702776121,-1
Nerello Mascalese,76,150930,0.0005035446895912,-1
Chardonnay-Viognier,75,150930,0.0004969191015702,-1
Tinto Fino,75,150930,0.0004969191015702,-1
Turbiana,75,150930,0.0004969191015702,-1
Vernaccia,74,150930,0.0004902935135493,-1
Carignan,74,150930,0.0004902935135493,9
Tokaji,73,150930,0.0004836679255283,-1
Arinto,72,150930,0.0004770423375074,-1
Petite Verdot,72,150930,0.0004770423375074,-1
