Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
IY,14,161,0.0869565217391304,-1
IN,11,161,0.0683229813664596,-1
AU,9,161,0.0559006211180124,-1
PM,8,161,0.0496894409937888,-1
FR,7,161,0.0434782608695652,-1
BZ,7,161,0.0434782608695652,-1
HI,6,161,0.0372670807453416,-1
JP,6,161,0.0372670807453416,-1
AL,5,161,0.031055900621118,-1
NG,4,161,0.0248447204968944,-1
MC,4,161,0.0248447204968944,-1
IL,3,161,0.0186335403726708,-1
IR,3,161,0.0186335403726708,-1
EG,3,161,0.0186335403726708,-1
NI,3,161,0.0186335403726708,-1
GL,3,161,0.0186335403726708,-1
LI,3,161,0.0186335403726708,-1
TS,3,161,0.0186335403726708,-1
PI,3,161,0.0186335403726708,-1
PK,3,161,0.0186335403726708,-1
SO,2,161,0.0124223602484472,-1
CS,2,161,0.0124223602484472,-1
OM,2,161,0.0124223602484472,-1
PQ,2,161,0.0124223602484472,-1
IQ,2,161,0.0124223602484472,-1
PH,2,161,0.0124223602484472,-1
CU,2,161,0.0124223602484472,-1
SG,2,161,0.0124223602484472,-1
GU,2,161,0.0124223602484472,-1
LC,1,161,0.0062111801242236,-1
PF,1,161,0.0062111801242236,-1
SP,1,161,0.0062111801242236,-1
EQ,1,161,0.0062111801242236,-1
TI,1,161,0.0062111801242236,-1
TU,1,161,0.0062111801242236,-1
GH,1,161,0.0062111801242236,-1
DY,1,161,0.0062111801242236,-1
AZ,1,161,0.0062111801242236,-1
CT,1,161,0.0062111801242236,-1
ET,1,161,0.0062111801242236,-1
KU,1,161,0.0062111801242236,-1
PR,1,161,0.0062111801242236,-1
MT,1,161,0.0062111801242236,-1
TO,1,161,0.0062111801242236,-1
AT,1,161,0.0062111801242236,-1
NK,1,161,0.0062111801242236,-1
LY,1,161,0.0062111801242236,-1
HA,1,161,0.0062111801242236,-1
NU,1,161,0.0062111801242236,-1
GY,1,161,0.0062111801242236,-1
UK,1,161,0.0062111801242236,-1
FJ,1,161,0.0062111801242236,-1
BA,1,161,0.0062111801242236,-1
GR,1,161,0.0062111801242236,-1
NH,1,161,0.0062111801242236,-1
ER,1,161,0.0062111801242236,-1
BE,1,161,0.0062111801242236,-1
BN,1,161,0.0062111801242236,-1
BR,1,161,0.0062111801242236,-1
NZ,1,161,0.0062111801242236,-1
TD,1,161,0.0062111801242236,-1
KO,1,161,0.0062111801242236,-1
JM,1,161,0.0062111801242236,-1
DR,1,161,0.0062111801242236,-1
