Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
domestic shorthair,23720,29421,0.806226844770742,-1
domestic mediumhair,2454,29421,0.0834098093198735,-1
domestic longhair,1273,29421,0.0432684137180925,-1
siamese,1058,29421,0.035960708337582,-1
american shorthair,211,29421,0.0071717480711056,-1
snowshoe,156,29421,0.005302335066789,-1
maine coon,116,29421,0.0039427619727405,-1
manx,80,29421,0.0027191461880969,-1
russian blue,69,29421,0.0023452635872336,-1
himalayan,38,29421,0.001291594439346,-1
persian,29,29421,0.0009856904931851,-1
ragdoll,25,29421,0.0008497331837802,-1
bengal,14,29421,0.0004758505829169,-1
siamese/domestic shorthair,13,29421,0.0004418612555657,-1
angora,12,29421,0.0004078719282145,-1
american curl shorthair,11,29421,0.0003738826008633,-1
japanese bobtail,10,29421,0.0003398932735121,-1
balinese,10,29421,0.0003398932735121,-1
tonkinese,8,29421,0.0002719146188096,-1
british shorthair,8,29421,0.0002719146188096,-1
bombay,7,29421,0.0002379252914584,-1
cymric,6,29421,0.0002039359641072,-1
devon rex,6,29421,0.0002039359641072,-1
turkish angora,5,29421,0.000169946636756,-1
domestic longhair/persian,4,29421,0.0001359573094048,-1
norwegian forest cat,4,29421,0.0001359573094048,-1
manx/domestic shorthair,4,29421,0.0001359573094048,-1
abyssinian,4,29421,0.0001359573094048,-1
pixiebob shorthair,4,29421,0.0001359573094048,-1
siamese/japanese bobtail,3,29421,0.0001019679820536,-1
sphynx,3,29421,0.0001019679820536,-1
oriental sh,3,29421,0.0001019679820536,-1
cornish rex,3,29421,0.0001019679820536,-1
domestic mediumhair/siamese,3,29421,0.0001019679820536,-1
exotic shorthair,3,29421,0.0001019679820536,-1
snowshoe/ragdoll,2,29421,6.797865470242344e-05,-1
scottish fold,2,29421,6.797865470242344e-05,-1
burmese,2,29421,6.797865470242344e-05,-1
chartreux,2,29421,6.797865470242344e-05,-1
turkish van,2,29421,6.797865470242344e-05,-1
bengal/domestic shorthair,2,29421,6.797865470242344e-05,-1
manx/domestic longhair,2,29421,6.797865470242344e-05,-1
domestic longhair/rex,2,29421,6.797865470242344e-05,-1
domestic mediumhair/maine coon,2,29421,6.797865470242344e-05,-1
javanese,2,29421,6.797865470242344e-05,-1
domestic shorthair/siamese,2,29421,6.797865470242344e-05,-1
munchkin longhair,2,29421,6.797865470242344e-05,-1
birman,2,29421,6.797865470242344e-05,-1
munchkin shorthair,2,29421,6.797865470242344e-05,-1
ocicat,1,29421,3.398932735121172e-05,-1
domestic shorthair/domestic mediumhair,1,29421,3.398932735121172e-05,-1
domestic shorthair/british shorthair,1,29421,3.398932735121172e-05,-1
domestic shorthair/manx,1,29421,3.398932735121172e-05,-1
manx/siamese,1,29421,3.398932735121172e-05,-1
domestic longhair/domestic longhair,1,29421,3.398932735121172e-05,-1
angora/persian,1,29421,3.398932735121172e-05,-1
snowshoe/domestic shorthair,1,29421,3.398932735121172e-05,-1
domestic longhair/russian blue,1,29421,3.398932735121172e-05,-1
domestic shorthair/abyssinian,1,29421,3.398932735121172e-05,-1
domestic shorthair/maine coon,1,29421,3.398932735121172e-05,-1
american wirehair,1,29421,3.398932735121172e-05,-1
havana brown,1,29421,3.398932735121172e-05,-1
siamese/angora,1,29421,3.398932735121172e-05,-1
domestic shorthair/domestic shorthair,1,29421,3.398932735121172e-05,-1
domestic mediumhair/manx,1,29421,3.398932735121172e-05,-1
