Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
PHP,160440,671205,0.2390327843207365,-1
USD,105494,671205,0.1571710580225117,-1
KES,75311,671205,0.1122026802541697,-1
KHR,29498,671205,0.0439478251800865,-1
PKR,26856,671205,0.0400116208907859,-1
COP,21984,671205,0.0327530337229311,-1
PEN,21401,671205,0.0318844466295692,-1
UGX,20534,671205,0.0305927399229743,-1
XOF,18610,671205,0.0277262535291006,-1
TJS,17553,671205,0.0261514738418218,-1
PYG,11898,671205,0.0177263280219903,-1
INR,11221,671205,0.0167176942960794,-1
VND,10843,671205,0.0161545280502976,-1
NGN,10135,671205,0.0150997087328014,-1
WST,7395,671205,0.0110174983797796,-1
BOB,7325,671205,0.0109132083342644,-1
GTQ,7243,671205,0.0107910399952324,-1
NIO,7185,671205,0.0107046282432341,-1
RWF,6711,671205,0.0099984356493172,-1
HNL,6463,671205,0.009628950916635,-1
IDR,6109,671205,0.0091015412578869,-1
AMD,5988,671205,0.008921268464925,-1
MXN,5689,671205,0.008475800984796,-1
KGS,5424,671205,0.0080809886696314,-1
SLL,5414,671205,0.0080660900917007,-1
TZS,5178,671205,0.0077144836525353,-1
GHS,4257,671205,0.0063423246251145,-1
JOD,4175,671205,0.0062201562860824,-1
MGA,3820,671205,0.0056912567695413,-1
LRD,3551,671205,0.0052904850232045,-1
MZN,3482,671205,0.0051876848354824,-1
HTG,3384,671205,0.0050416787717612,-1
XAF,2358,671205,0.0035130846760676,-1
YER,2313,671205,0.0034460410753793,-1
LBP,2077,671205,0.0030944346362139,-1
AZN,1944,671205,0.0028962835497351,-1
ALL,1933,671205,0.0028798951140113,-1
MMK,1866,671205,0.0027800746418754,-1
TRY,1703,671205,0.0025372278216044,-1
EGP,1639,671205,0.0024418769228477,-1
GEL,1570,671205,0.0023390767351256,-1
CRC,1561,671205,0.0023256680149879,-1
LAK,1481,671205,0.002206479391542,-1
EUR,1419,671205,0.0021141082083715,-1
MWK,1319,671205,0.0019651224290641,-1
UAH,963,671205,0.0014347330547299,-1
BIF,880,671205,0.0013110748579048,-1
ZMW,771,671205,0.0011486803584597,-1
MNT,719,671205,0.0010712077532199,-1
NPR,710,671205,0.0010577990330822,-1
SBD,554,671205,0.0008253812173628,-1
DOP,496,671205,0.0007389694653645,-1
LSL,422,671205,0.000628719988677,-1
ZAR,378,671205,0.0005631662457818,-1
MDL,348,671205,0.0005184705119896,-1
BRL,268,671205,0.0003992818885437,-1
SRD,223,671205,0.0003322382878554,-1
ILS,193,671205,0.0002875425540632,-1
SSP,159,671205,0.0002368873890987,-1
BZD,125,671205,0.0001862322241342,-1
CNY,125,671205,0.0001862322241342,-1
THB,79,671205,0.0001176987656528,-1
XCD,16,671205,2.383772468917842e-05,-1
CLP,8,671205,1.191886234458921e-05,-1
NAD,8,671205,1.191886234458921e-05,-1
VUV,4,671205,5.959431172294605e-06,-1
ZWD,2,671205,2.9797155861473024e-06,-1
