Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
"Integrated household survey (IHS), 2015",14,263,0.053231939163498,-1
"Integrated household survey (IHS), 2014",14,263,0.053231939163498,-1
"Integrated household survey (IHS), 2012",13,263,0.0494296577946768,-1
"Expenditure survey/budget survey (ES/BS), 2014",9,263,0.0342205323193916,-1
"Expenditure survey/budget survey (ES/BS), 2013",6,263,0.0228136882129277,-1
"Integrated household survey (IHS), 2011",5,263,0.0190114068441064,-1
"Expenditure survey/budget survey (ES/BS), 2010",5,263,0.0190114068441064,-1
"Income survey (IS), 2012",4,263,0.0152091254752851,-1
"Integrated household survey (IHS), 2013",4,263,0.0152091254752851,-1
"Integrated household survey (IHS), 2009/10",4,263,0.0152091254752851,-1
"Expenditure survey/budget survey (ES/BS), 2012",4,263,0.0152091254752851,-1
"Living Standards Measurement Study Survey (LSMS), 2012",4,263,0.0152091254752851,-1
"Integrated household survey (IHS), 2010",4,263,0.0152091254752851,-1
"Expenditure survey/budget survey (ES/BS), 2009/10",3,263,0.0114068441064638,-1
"Expenditure survey/budget survey (ES/BS), 2015",3,263,0.0114068441064638,-1
"Expenditure survey/budget survey (ES/BS), 2010/11",3,263,0.0114068441064638,-1
"Living Standards Measurement Study Survey (LSMS), 2014",3,263,0.0114068441064638,-1
"Integrated household survey (IHS), 2011/12",2,263,0.0076045627376425,-1
"Expenditure survey/budget survey (ES/BS), 2006",2,263,0.0076045627376425,-1
"Expenditure survey/budget survey (ES/BS), 2007",2,263,0.0076045627376425,-1
"Integrated household survey (IHS), 2012/13",2,263,0.0076045627376425,-1
"Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",2,263,0.0076045627376425,-1
"Expenditure survey/budget survey (ES/BS), 2009",2,263,0.0076045627376425,-1
"Integrated household survey (IHS), 2013/14",2,263,0.0076045627376425,-1
"Expenditure survey/budget survey (ES/BS), 2008/09",2,263,0.0076045627376425,-1
"Expenditure survey/budget survey (ES/BS), 2011/12",2,263,0.0076045627376425,-1
"Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",2,263,0.0076045627376425,-1
"Integrated household survey (IHS), 2010/11",2,263,0.0076045627376425,-1
"Labor force survey (LFS), 2010",1,263,0.0038022813688212,-1
"Priority survey (PS), 2011",1,263,0.0038022813688212,-1
"Core Welfare Indicator Questionnaire Survey (CWIQ), 2011/12",1,263,0.0038022813688212,-1
"Expenditure survey/budget survey (ES/BS), 1999",1,263,0.0038022813688212,-1
"Priority survey (PS), 2013",1,263,0.0038022813688212,-1
"Priority survey (PS), 2011/12",1,263,0.0038022813688212,-1
"Living Standards Measurement Study Survey (LSMS), 2010/11",1,263,0.0038022813688212,-1
"Labor force survey (LFS), 2013",1,263,0.0038022813688212,-1
"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",1,263,0.0038022813688212,-1
"Integrated household survey (IHS), 2009",1,263,0.0038022813688212,-1
"Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",1,263,0.0038022813688212,-1
"Expenditure survey/budget survey (ES/BS), 2011",1,263,0.0038022813688212,-1
"Priority survey (PS), 2014",1,263,0.0038022813688212,-1
"Integrated household survey (IHS), 1992",1,263,0.0038022813688212,-1
"Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",1,263,0.0038022813688212,-1
"Expenditure survey/budget survey (ES/BS), 1998",1,263,0.0038022813688212,-1
"Integrated household survey (IHS), 2008",1,263,0.0038022813688212,-1
"Priority survey (PS), 2008",1,263,0.0038022813688212,-1
"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",1,263,0.0038022813688212,-1
"Living Standards Measurement Study Survey (LSMS), 1998",1,263,0.0038022813688212,-1
"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2014",1,263,0.0038022813688212,-1
"Priority survey (PS), 2010",1,263,0.0038022813688212,-1
"Integrated household survey (IHS), 2005/06",1,263,0.0038022813688212,-1
"Priority survey (PS), 2006",1,263,0.0038022813688212,-1
"1-2-3 survey (1-2-3), 2012/13",1,263,0.0038022813688212,-1
"Priority survey (PS), 2012",1,263,0.0038022813688212,-1
"Income survey (IS), 2014",1,263,0.0038022813688212,-1
"Integrated household survey (IHS), 1995",1,263,0.0038022813688212,-1
"Integrated household survey (IHS), 1998",1,263,0.0038022813688212,-1
"Expenditure survey/budget survey (ES/BS), 2008",1,263,0.0038022813688212,-1
"Integrated household survey (IHS), 2004",1,263,0.0038022813688212,-1
"Labor force survey (LFS), 1999",1,263,0.0038022813688212,-1
"Expenditure survey/budget survey (ES/BS), 2012/13",1,263,0.0038022813688212,-1
"Expenditure survey/budget survey (ES/BS), 2005",1,263,0.0038022813688212,-1
"Integrated household survey (IHS), 1999",1,263,0.0038022813688212,-1
"Integrated household survey (IHS), 2008/09",1,263,0.0038022813688212,-1
"Income survey (IS), 2013",1,263,0.0038022813688212,-1
"Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005",1,263,0.0038022813688212,-1
"Living Standards Measurement Study Survey (LSMS), 2014/15",1,263,0.0038022813688212,-1
"Income tax registers (ITR), 2012",1,263,0.0038022813688212,-1
"Priority survey (PS), 1993",1,263,0.0038022813688212,-1
