Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Barcelona,2,73,0.0273972602739726,-1
California,2,73,0.0273972602739726,-1
Spielburg,2,73,0.0273972602739726,-1
Shanghai,1,73,0.0136986301369863,-1
Nevada,1,73,0.0136986301369863,-1
Liverpool,1,73,0.0136986301369863,-1
Oyama,1,73,0.0136986301369863,-1
Sochi,1,73,0.0136986301369863,-1
Indianapolis,1,73,0.0136986301369863,-1
Castle Donington,1,73,0.0136986301369863,-1
Melbourne,1,73,0.0136986301369863,-1
Brussels,1,73,0.0136986301369863,-1
MontmelÌ_,1,73,0.0136986301369863,-1
Suzuka,1,73,0.0136986301369863,-1
Baku,1,73,0.0136986301369863,-1
Uttar Pradesh,1,73,0.0136986301369863,-1
Florida,1,73,0.0136986301369863,-1
Hockenheim,1,73,0.0136986301369863,-1
Anderstorp,1,73,0.0136986301369863,-1
Valencia,1,73,0.0136986301369863,-1
Abu Dhabi,1,73,0.0136986301369863,-1
Le Mans,1,73,0.0136986301369863,-1
Oporto,1,73,0.0136986301369863,-1
Marina Bay,1,73,0.0136986301369863,-1
Spa,1,73,0.0136986301369863,-1
SÌ£o Paulo,1,73,0.0136986301369863,-1
Quebec,1,73,0.0136986301369863,-1
Magny Cours,1,73,0.0136986301369863,-1
Eastern Cape Province,1,73,0.0136986301369863,-1
Silverstone,1,73,0.0136986301369863,-1
Phoenix,1,73,0.0136986301369863,-1
Mexico City,1,73,0.0136986301369863,-1
New Jersey,1,73,0.0136986301369863,-1
Monte-Carlo,1,73,0.0136986301369863,-1
Ontario,1,73,0.0136986301369863,-1
Imola,1,73,0.0136986301369863,-1
Zandvoort,1,73,0.0136986301369863,-1
NÌ_rburg,1,73,0.0136986301369863,-1
New York State,1,73,0.0136986301369863,-1
Pescara,1,73,0.0136986301369863,-1
Estoril,1,73,0.0136986301369863,-1
Austin,1,73,0.0136986301369863,-1
Clermont-Ferrand,1,73,0.0136986301369863,-1
Budapest,1,73,0.0136986301369863,-1
Berlin,1,73,0.0136986301369863,-1
Madrid,1,73,0.0136986301369863,-1
Sakhir,1,73,0.0136986301369863,-1
Lisbon,1,73,0.0136986301369863,-1
Le Castellet,1,73,0.0136986301369863,-1
Yeongam County,1,73,0.0136986301369863,-1
Kent,1,73,0.0136986301369863,-1
Casablanca,1,73,0.0136986301369863,-1
Dallas,1,73,0.0136986301369863,-1
Styria,1,73,0.0136986301369863,-1
Jerez de la Frontera,1,73,0.0136986301369863,-1
Istanbul,1,73,0.0136986301369863,-1
Dijon,1,73,0.0136986301369863,-1
Monza,1,73,0.0136986301369863,-1
Heusden-Zolder,1,73,0.0136986301369863,-1
Adelaide,1,73,0.0136986301369863,-1
Kuala Lumpur,1,73,0.0136986301369863,-1
Midrand,1,73,0.0136986301369863,-1
Buenos Aires,1,73,0.0136986301369863,-1
Reims,1,73,0.0136986301369863,-1
Okayama,1,73,0.0136986301369863,-1
Detroit,1,73,0.0136986301369863,-1
Montreal,1,73,0.0136986301369863,-1
Rouen,1,73,0.0136986301369863,-1
Rio de Janeiro,1,73,0.0136986301369863,-1
Bern,1,73,0.0136986301369863,-1
