Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Jefferson County,11,910,0.012087912087912,-1
Washington County,11,910,0.012087912087912,-1
Douglas County,8,910,0.0087912087912087,-1
Madison County,7,910,0.0076923076923076,-1
Montgomery County,6,910,0.0065934065934065,-1
Monroe County,6,910,0.0065934065934065,-1
Franklin County,6,910,0.0065934065934065,-1
Jackson County,5,910,0.0054945054945054,-1
Boone County,5,910,0.0054945054945054,-1
Warren County,5,910,0.0054945054945054,-1
Union County,5,910,0.0054945054945054,-1
Lee County,4,910,0.0043956043956043,-1
Wayne County,4,910,0.0043956043956043,-1
Henry County,4,910,0.0043956043956043,-1
Orange County,4,910,0.0043956043956043,-1
York County,4,910,0.0043956043956043,-1
Lake County,4,910,0.0043956043956043,-1
Clay County,4,910,0.0043956043956043,-1
Marion County,4,910,0.0043956043956043,-1
Shelby County,4,910,0.0043956043956043,-1
Clark County,4,910,0.0043956043956043,-1
Benton County,4,910,0.0043956043956043,-1
Cumberland County,4,910,0.0043956043956043,-1
Scott County,4,910,0.0043956043956043,-1
Polk County,4,910,0.0043956043956043,-1
Kent County,3,910,0.0032967032967032,-1
Columbia County,3,910,0.0032967032967032,-1
Butler County,3,910,0.0032967032967032,-1
Campbell County,3,910,0.0032967032967032,-1
Fayette County,3,910,0.0032967032967032,-1
Somerset County,3,910,0.0032967032967032,-1
Cherokee County,3,910,0.0032967032967032,-1
Hamilton County,3,910,0.0032967032967032,-1
Hancock County,3,910,0.0032967032967032,-1
Ottawa County,3,910,0.0032967032967032,-1
Johnson County,3,910,0.0032967032967032,-1
Jones County,3,910,0.0032967032967032,-1
Erie County,3,910,0.0032967032967032,-1
Houston County,3,910,0.0032967032967032,-1
Middlesex County,3,910,0.0032967032967032,-1
Harrison County,3,910,0.0032967032967032,-1
Cass County,3,910,0.0032967032967032,-1
Delaware County,3,910,0.0032967032967032,-1
Calhoun County,3,910,0.0032967032967032,-1
Lancaster County,3,910,0.0032967032967032,-1
Livingston County,3,910,0.0032967032967032,-1
Lawrence County,2,910,0.0021978021978021,-1
Richland County,2,910,0.0021978021978021,-1
Newton County,2,910,0.0021978021978021,-1
Garfield County,2,910,0.0021978021978021,-1
Davidson County,2,910,0.0021978021978021,-1
Morgan County,2,910,0.0021978021978021,-1
Tazewell County,2,910,0.0021978021978021,-1
Clarke County,2,910,0.0021978021978021,-1
Coffee County,2,910,0.0021978021978021,-1
Fairfield County,2,910,0.0021978021978021,-1
Bay County,2,910,0.0021978021978021,-1
Oconee County,2,910,0.0021978021978021,-1
Hardin County,2,910,0.0021978021978021,-1
Lincoln County,2,910,0.0021978021978021,-1
Winnebago County,2,910,0.0021978021978021,-1
Chatham County,2,910,0.0021978021978021,-1
Sumter County,2,910,0.0021978021978021,-1
Park County,2,910,0.0021978021978021,-1
Williamson County,2,910,0.0021978021978021,-1
Lowndes County,2,910,0.0021978021978021,-1
Forsyth County,2,910,0.0021978021978021,-1
Allen County,2,910,0.0021978021978021,-1
Greene County,2,910,0.0021978021978021,-1
Midland County,2,910,0.0021978021978021,-1
Worcester County,2,910,0.0021978021978021,-1
Nassau County,2,910,0.0021978021978021,-1
Pierce County,2,910,0.0021978021978021,-1
DeSoto County,2,910,0.0021978021978021,-1
Howard County,2,910,0.0021978021978021,-1
Christian County,2,910,0.0021978021978021,-1
Bristol County,2,910,0.0021978021978021,-1
Wood County,2,910,0.0021978021978021,-1
Liberty County,2,910,0.0021978021978021,-1
Bryan County,2,910,0.0021978021978021,-1
St. Louis County,2,910,0.0021978021978021,-1
Dakota County,2,910,0.0021978021978021,-1
Bedford County,2,910,0.0021978021978021,-1
Lauderdale County,2,910,0.0021978021978021,-1
Cleveland County,2,910,0.0021978021978021,-1
Alexander County,2,910,0.0021978021978021,-1
Mercer County,2,910,0.0021978021978021,-1
Essex County,2,910,0.0021978021978021,-1
San Juan County,2,910,0.0021978021978021,-1
Suffolk County,2,910,0.0021978021978021,-1
El Paso County,2,910,0.0021978021978021,-1
Hillsborough County,2,910,0.0021978021978021,-1
Henderson County,2,910,0.0021978021978021,-1
Wilson County,2,910,0.0021978021978021,-1
St. Clair County,2,910,0.0021978021978021,-1
Kane County,2,910,0.0021978021978021,-1
Jasper County,2,910,0.0021978021978021,-1
Santa Cruz County,2,910,0.0021978021978021,-1
Rockingham County,2,910,0.0021978021978021,-1
Plymouth County,2,910,0.0021978021978021,-1
Linn County,2,910,0.0021978021978021,-1
Floyd County,2,910,0.0021978021978021,-1
Richmond County,2,910,0.0021978021978021,-1
Putnam County,2,910,0.0021978021978021,-1
Kings County,2,910,0.0021978021978021,-1
Clinton County,2,910,0.0021978021978021,-1
Anderson County,2,910,0.0021978021978021,-1
Catoosa County,1,910,0.001098901098901,-1
La Crosse County,1,910,0.001098901098901,-1
Flathead County,1,910,0.001098901098901,-1
Atlantic County,1,910,0.001098901098901,-1
Moore County,1,910,0.001098901098901,-1
