Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
R1Z8,33,2117,0.0155880963627775,-1
R1Z4,33,2117,0.0155880963627775,-1
R2Z2,33,2117,0.0155880963627775,-1
R3W1,33,2117,0.0155880963627775,-1
R3Z1,33,2117,0.0155880963627775,-1
R2Y3,33,2117,0.0155880963627775,-1
R1Y1,33,2117,0.0155880963627775,-1
R1Z3,33,2117,0.0155880963627775,-1
R1X8,33,2117,0.0155880963627775,-1
R1Y7,33,2117,0.0155880963627775,-1
R2Y2,33,2117,0.0155880963627775,-1
R2Y1,33,2117,0.0155880963627775,-1
R1X1,33,2117,0.0155880963627775,-1
R1W8,33,2117,0.0155880963627775,-1
R1X3,33,2117,0.0155880963627775,-1
R5WX,33,2117,0.0155880963627775,-1
R1Z6,33,2117,0.0155880963627775,-1
R4W1,33,2117,0.0155880963627775,-1
R1Y6,33,2117,0.0155880963627775,-1
R4Z1,33,2117,0.0155880963627775,-1
R1Y3,33,2117,0.0155880963627775,-1
R1W3,33,2117,0.0155880963627775,-1
R1Y4,33,2117,0.0155880963627775,-1
R1Y2,33,2117,0.0155880963627775,-1
R6CH,33,2117,0.0155880963627775,-1
R2W4,33,2117,0.0155880963627775,-1
R1Y8,33,2117,0.0155880963627775,-1
R4X1,33,2117,0.0155880963627775,-1
R2X2,33,2117,0.0155880963627775,-1
R4Y1,33,2117,0.0155880963627775,-1
R2X4,33,2117,0.0155880963627775,-1
R2Z3,33,2117,0.0155880963627775,-1
R2W3,33,2117,0.0155880963627775,-1
R3X1,33,2117,0.0155880963627775,-1
R1Z7,33,2117,0.0155880963627775,-1
R1Z1,33,2117,0.0155880963627775,-1
R2X3,33,2117,0.0155880963627775,-1
R3X2,33,2117,0.0155880963627775,-1
R1X6,33,2117,0.0155880963627775,-1
R1X5,33,2117,0.0155880963627775,-1
R2W2,33,2117,0.0155880963627775,-1
R2X1,33,2117,0.0155880963627775,-1
R2Z1,33,2117,0.0155880963627775,-1
R3Y2,33,2117,0.0155880963627775,-1
R1Z2,33,2117,0.0155880963627775,-1
R1Z5,33,2117,0.0155880963627775,-1
R1X4,33,2117,0.0155880963627775,-1
R1W7,33,2117,0.0155880963627775,-1
R1W5,33,2117,0.0155880963627775,-1
R1Y5,33,2117,0.0155880963627775,-1
R2Z4,33,2117,0.0155880963627775,-1
R2Y4,33,2117,0.0155880963627775,-1
R3W2,33,2117,0.0155880963627775,-1
R1X2,33,2117,0.0155880963627775,-1
R1X7,33,2117,0.0155880963627775,-1
R1W1,33,2117,0.0155880963627775,-1
R1W4,33,2117,0.0155880963627775,-1
R5YZ,33,2117,0.0155880963627775,-1
R1W2,33,2117,0.0155880963627775,-1
R2W1,33,2117,0.0155880963627775,-1
R3Z2,33,2117,0.0155880963627775,-1
R3Y1,33,2117,0.0155880963627775,-1
R1W6,33,2117,0.0155880963627775,-1
Y16,9,2117,0.0042512990080302,-1
W16,6,2117,0.0028341993386868,-1
X16,5,2117,0.002361832782239,-1
Z16,4,2117,0.0018894662257912,-1
Y11,3,2117,0.0014170996693434,-1
Z11,3,2117,0.0014170996693434,-1
W11,3,2117,0.0014170996693434,-1
Y12,1,2117,0.0004723665564478,-1
X12,1,2117,0.0004723665564478,-1
Z14,1,2117,0.0004723665564478,-1
Z13,1,2117,0.0004723665564478,-1
W12,1,2117,0.0004723665564478,-1
