Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
R1Z8,33,2117,0.0155880963627775,-1
R1X8,33,2117,0.0155880963627775,-1
Y11,33,2117,0.0155880963627775,-1
R1Z6,33,2117,0.0155880963627775,-1
R2Y3,33,2117,0.0155880963627775,-1
W11,33,2117,0.0155880963627775,-1
R1Y6,33,2117,0.0155880963627775,-1
Y15,33,2117,0.0155880963627775,-1
X14,33,2117,0.0155880963627775,-1
R1Y7,33,2117,0.0155880963627775,-1
R4Z1,33,2117,0.0155880963627775,-1
R1W8,33,2117,0.0155880963627775,-1
R2X4,33,2117,0.0155880963627775,-1
R3W2,33,2117,0.0155880963627775,-1
R1Z7,33,2117,0.0155880963627775,-1
Z16,33,2117,0.0155880963627775,-1
Y16,33,2117,0.0155880963627775,-1
X11,33,2117,0.0155880963627775,-1
Y09,33,2117,0.0155880963627775,-1
W14,33,2117,0.0155880963627775,-1
X13,33,2117,0.0155880963627775,-1
Z14,33,2117,0.0155880963627775,-1
W09,33,2117,0.0155880963627775,-1
W10,33,2117,0.0155880963627775,-1
X12,33,2117,0.0155880963627775,-1
R2W4,33,2117,0.0155880963627775,-1
R1Y8,33,2117,0.0155880963627775,-1
Y10,33,2117,0.0155880963627775,-1
Z10,33,2117,0.0155880963627775,-1
R4X1,33,2117,0.0155880963627775,-1
Y13,33,2117,0.0155880963627775,-1
R2Z3,33,2117,0.0155880963627775,-1
X15,33,2117,0.0155880963627775,-1
X10,33,2117,0.0155880963627775,-1
Z15,33,2117,0.0155880963627775,-1
R1Y5,33,2117,0.0155880963627775,-1
X09,33,2117,0.0155880963627775,-1
R2Z4,33,2117,0.0155880963627775,-1
W13,33,2117,0.0155880963627775,-1
W12,33,2117,0.0155880963627775,-1
Z13,33,2117,0.0155880963627775,-1
R1W5,33,2117,0.0155880963627775,-1
R1W7,33,2117,0.0155880963627775,-1
R3Y2,33,2117,0.0155880963627775,-1
R1W6,33,2117,0.0155880963627775,-1
X16,33,2117,0.0155880963627775,-1
Y14,33,2117,0.0155880963627775,-1
R2W3,33,2117,0.0155880963627775,-1
R1X5,33,2117,0.0155880963627775,-1
R1X6,33,2117,0.0155880963627775,-1
R3X2,33,2117,0.0155880963627775,-1
R2X3,33,2117,0.0155880963627775,-1
R2Y4,33,2117,0.0155880963627775,-1
Z09,33,2117,0.0155880963627775,-1
W15,33,2117,0.0155880963627775,-1
R5YZ,33,2117,0.0155880963627775,-1
R3Z2,33,2117,0.0155880963627775,-1
R1Z5,33,2117,0.0155880963627775,-1
Y12,33,2117,0.0155880963627775,-1
Z12,33,2117,0.0155880963627775,-1
Z11,33,2117,0.0155880963627775,-1
W16,33,2117,0.0155880963627775,-1
R1X7,33,2117,0.0155880963627775,-1
Y16b,9,2117,0.0042512990080302,-1
W16b,6,2117,0.0028341993386868,-1
X16b,5,2117,0.002361832782239,-1
Z16b,4,2117,0.0018894662257912,-1
Y11b,3,2117,0.0014170996693434,-1
Z11b,3,2117,0.0014170996693434,-1
W11b,3,2117,0.0014170996693434,-1
Y12b,1,2117,0.0004723665564478,-1
Z13b,1,2117,0.0004723665564478,-1
Z14b,1,2117,0.0004723665564478,-1
X12b,1,2117,0.0004723665564478,-1
W12b,1,2117,0.0004723665564478,-1
