Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Brazil,82,4572,0.0179352580927384,-1
Italy,57,4572,0.0124671916010498,-1
Argentina,54,4572,0.0118110236220472,-1
Germany FR,43,4572,0.0094050743657042,-1
England,35,4572,0.0076552930883639,-1
Germany,34,4572,0.0074365704286964,-1
Netherlands,32,4572,0.0069991251093613,-1
France,31,4572,0.0067804024496937,-1
Spain,30,4572,0.0065616797900262,-1
Uruguay,28,4572,0.0061242344706911,-1
Sweden,27,4572,0.0059055118110236,-1
Hungary,18,4572,0.0039370078740157,-1
Soviet Union,18,4572,0.0039370078740157,-1
Belgium,18,4572,0.0039370078740157,-1
Yugoslavia,17,4572,0.0037182852143482,-1
Mexico,16,4572,0.0034995625546806,-1
Portugal,16,4572,0.0034995625546806,-1
Poland,16,4572,0.0034995625546806,-1
USA,15,4572,0.0032808398950131,-1
Korea Republic,14,4572,0.0030621172353455,-1
Chile,14,4572,0.0030621172353455,-1
Austria,13,4572,0.002843394575678,-1
Switzerland,12,4572,0.0026246719160104,-1
Paraguay,11,4572,0.0024059492563429,-1
Cameroon,11,4572,0.0024059492563429,-1
Czechoslovakia,10,4572,0.0021872265966754,-1
Japan,10,4572,0.0021872265966754,-1
Scotland,9,4572,0.0019685039370078,-1
Romania,9,4572,0.0019685039370078,-1
Nigeria,9,4572,0.0019685039370078,-1
Colombia,7,4572,0.0015310586176727,-1
Bulgaria,7,4572,0.0015310586176727,-1
Denmark,7,4572,0.0015310586176727,-1
Costa Rica,7,4572,0.0015310586176727,-1
Saudi Arabia,6,4572,0.0013123359580052,-1
Algeria,6,4572,0.0013123359580052,-1
South Africa,6,4572,0.0013123359580052,-1
Australia,6,4572,0.0013123359580052,-1
Peru,5,4572,0.0010936132983377,-1
Republic of Ireland,5,4572,0.0010936132983377,-1
Honduras,5,4572,0.0010936132983377,-1
Ecuador,4,4572,0.0008748906386701,-1
Ghana,4,4572,0.0008748906386701,-1
Tunisia,4,4572,0.0008748906386701,-1
Morocco,4,4572,0.0008748906386701,-1
Greece,4,4572,0.0008748906386701,-1
C�te d'Ivoire,3,4572,0.0006561679790026,-1
Slovenia,3,4572,0.0006561679790026,-1
Korea DPR,3,4572,0.0006561679790026,-1
Russia,3,4572,0.0006561679790026,-1
German DR,3,4572,0.0006561679790026,-1
Croatia,3,4572,0.0006561679790026,-1
Czech Republic,2,4572,0.000437445319335,-1
Cuba,2,4572,0.000437445319335,-1
Zaire,2,4572,0.000437445319335,-1
Togo,2,4572,0.000437445319335,-1
Slovakia,2,4572,0.000437445319335,-1
Senegal,2,4572,0.000437445319335,-1
Iraq,2,4572,0.000437445319335,-1
Turkey,2,4572,0.000437445319335,-1
China PR,1,4572,0.0002187226596675,-1
United Arab Emirates,1,4572,0.0002187226596675,-1
Serbia and Montenegro,1,4572,0.0002187226596675,-1
Bolivia,1,4572,0.0002187226596675,-1
Angola,1,4572,0.0002187226596675,-1
Serbia,1,4572,0.0002187226596675,-1
Trinidad and Tobago,1,4572,0.0002187226596675,-1
Wales,1,4572,0.0002187226596675,-1
Haiti,1,4572,0.0002187226596675,-1
Bosnia and Herzegovina,1,4572,0.0002187226596675,-1
New Zealand,1,4572,0.0002187226596675,-1
Jamaica,1,4572,0.0002187226596675,-1
Canada,1,4572,0.0002187226596675,-1
Norway,1,4572,0.0002187226596675,-1
Ukraine,1,4572,0.0002187226596675,-1
Iran,1,4572,0.0002187226596675,-1
IR Iran,1,4572,0.0002187226596675,-1
