Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
52.0,187,23777,0.0078647432392648,-1
50.0,185,23777,0.0077806283383101,-1
53.0,174,23777,0.0073179963830592,-1
51.0,164,23777,0.0068974218782857,-1
55.0,149,23777,0.0062665601211254,-1
49.0,138,23777,0.0058039281658745,-1
43.0,137,23777,0.0057618707153972,-1
44.0,132,23777,0.0055515834630104,-1
41.0,129,23777,0.0054254111115784,-1
54.0,129,23777,0.0054254111115784,-1
48.0,127,23777,0.0053412962106237,-1
45.0,126,23777,0.0052992387601463,-1
39.0,125,23777,0.005257181309669,-1
42.0,117,23777,0.0049207217058501,-1
47.0,114,23777,0.0047945493544181,-1
46.0,111,23777,0.004668377002986,-1
40.0,109,23777,0.0045842621020313,-1
56.0,107,23777,0.0045001472010766,-1
37.0,99,23777,0.0041636875972578,-1
36.0,94,23777,0.003953400344871,-1
38.0,89,23777,0.0037431130924843,-1
57.0,87,23777,0.0036589981915296,-1
34.0,76,23777,0.0031963662362787,-1
35.0,76,23777,0.0031963662362787,-1
32.0,74,23777,0.003112251335324,-1
58.0,74,23777,0.003112251335324,-1
17.0,68,23777,0.0028599066324599,-1
14.0,67,23777,0.0028178491819825,-1
59.0,65,23777,0.0027337342810278,-1
69.0,65,23777,0.0027337342810278,-1
18.0,64,23777,0.0026916768305505,-1
27.0,64,23777,0.0026916768305505,-1
19.0,63,23777,0.0026496193800731,-1
29.0,62,23777,0.0026075619295958,-1
33.0,62,23777,0.0026075619295958,-1
26.0,61,23777,0.0025655044791184,-1
68.0,60,23777,0.0025234470286411,-1
30.0,59,23777,0.0024813895781637,-1
16.0,57,23777,0.002397274677209,-1
65.0,57,23777,0.002397274677209,-1
22.0,56,23777,0.0023552172267317,-1
67.0,56,23777,0.0023552172267317,-1
28.0,55,23777,0.0023131597762543,-1
31.0,55,23777,0.0023131597762543,-1
21.0,54,23777,0.002271102325777,-1
23.0,54,23777,0.002271102325777,-1
66.0,54,23777,0.002271102325777,-1
25.0,54,23777,0.002271102325777,-1
2.0,50,23777,0.0021028725238676,-1
20.0,50,23777,0.0021028725238676,-1
13.0,48,23777,0.0020187576229128,-1
70.0,48,23777,0.0020187576229128,-1
64.0,47,23777,0.0019767001724355,-1
60.0,47,23777,0.0019767001724355,-1
24.0,45,23777,0.0018925852714808,-1
63.0,44,23777,0.0018505278210034,-1
62.0,44,23777,0.0018505278210034,-1
12.0,43,23777,0.0018084703705261,-1
4.0,40,23777,0.001682298019094,-1
6.0,40,23777,0.001682298019094,-1
10.0,40,23777,0.001682298019094,-1
11.0,40,23777,0.001682298019094,-1
9.0,39,23777,0.0016402405686167,-1
61.0,38,23777,0.0015981831181393,-1
15.0,38,23777,0.0015981831181393,-1
8.0,36,23777,0.0015140682171846,-1
7.0,33,23777,0.0013878958657526,-1
5.0,22,23777,0.0009252639105017,-1
74.0,19,23777,0.0007990915590696,-1
3.0,18,23777,0.0007570341085923,-1
71.0,15,23777,0.0006308617571602,-1
75.0,14,23777,0.0005888043066829,-1
72.0,12,23777,0.0005046894057282,-1
77.0,12,23777,0.0005046894057282,-1
76.0,10,23777,0.0004205745047735,-1
73.0,5,23777,0.0002102872523867,-1
78.0,5,23777,0.0002102872523867,-1
