Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
HAR,2,842,0.002375296912114,-1
VER,2,842,0.002375296912114,-1
BIA,2,842,0.002375296912114,-1
MAG,2,842,0.002375296912114,-1
ROS,1,842,0.001187648456057,-1
BAR,1,842,0.001187648456057,-1
LOT,1,842,0.001187648456057,-1
FIS,1,842,0.001187648456057,-1
PET,1,842,0.001187648456057,-1
DLR,1,842,0.001187648456057,-1
NAK,1,842,0.001187648456057,-1
KVY,1,842,0.001187648456057,-1
GIO,1,842,0.001187648456057,-1
GRO,1,842,0.001187648456057,-1
PIZ,1,842,0.001187648456057,-1
KOB,1,842,0.001187648456057,-1
KAR,1,842,0.001187648456057,-1
PER,1,842,0.001187648456057,-1
WEH,1,842,0.001187648456057,-1
PIQ,1,842,0.001187648456057,-1
BAD,1,842,0.001187648456057,-1
KOV,1,842,0.001187648456057,-1
DIG,1,842,0.001187648456057,-1
MER,1,842,0.001187648456057,-1
LIU,1,842,0.001187648456057,-1
VIL,1,842,0.001187648456057,-1
ZON,1,842,0.001187648456057,-1
IDE,1,842,0.001187648456057,-1
CHI,1,842,0.001187648456057,-1
VDG,1,842,0.001187648456057,-1
NAS,1,842,0.001187648456057,-1
HAM,1,842,0.001187648456057,-1
RIC,1,842,0.001187648456057,-1
ALO,1,842,0.001187648456057,-1
COU,1,842,0.001187648456057,-1
PIC,1,842,0.001187648456057,-1
GUT,1,842,0.001187648456057,-1
STE,1,842,0.001187648456057,-1
SUT,1,842,0.001187648456057,-1
BOT,1,842,0.001187648456057,-1
TMO,1,842,0.001187648456057,-1
ALB,1,842,0.001187648456057,-1
OCO,1,842,0.001187648456057,-1
CHA,1,842,0.001187648456057,-1
GAS,1,842,0.001187648456057,-1
SAI,1,842,0.001187648456057,-1
MON,1,842,0.001187648456057,-1
MAS,1,842,0.001187648456057,-1
VET,1,842,0.001187648456057,-1
SCH,1,842,0.001187648456057,-1
RSS,1,842,0.001187648456057,-1
RAI,1,842,0.001187648456057,-1
HEI,1,842,0.001187648456057,-1
DOO,1,842,0.001187648456057,-1
HUL,1,842,0.001187648456057,-1
KUB,1,842,0.001187648456057,-1
DAV,1,842,0.001187648456057,-1
KLI,1,842,0.001187648456057,-1
MSC,1,842,0.001187648456057,-1
SAT,1,842,0.001187648456057,-1
SPE,1,842,0.001187648456057,-1
WIN,1,842,0.001187648456057,-1
STR,1,842,0.001187648456057,-1
FRI,1,842,0.001187648456057,-1
FMO,1,842,0.001187648456057,-1
TRU,1,842,0.001187648456057,-1
ERI,1,842,0.001187648456057,-1
DIR,1,842,0.001187648456057,-1
PAL,1,842,0.001187648456057,-1
WEB,1,842,0.001187648456057,-1
MAL,1,842,0.001187648456057,-1
BUT,1,842,0.001187648456057,-1
WUR,1,842,0.001187648456057,-1
YAM,1,842,0.001187648456057,-1
VAN,1,842,0.001187648456057,-1
SEN,1,842,0.001187648456057,-1
ALG,1,842,0.001187648456057,-1
GLO,1,842,0.001187648456057,-1
DAM,1,842,0.001187648456057,-1
BOU,1,842,0.001187648456057,-1
BUE,1,842,0.001187648456057,-1
