Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
American,90968,399918,0.2274666306592852,-1
Chinese,42321,399918,0.1058241939597617,-1
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",19135,399918,0.0478473086982831,-1
Pizza,18754,399918,0.0468946133957461,-1
Italian,17732,399918,0.0443390895133502,-1
Caf̩/Coffee/Tea,15568,399918,0.0389279802359483,-1
Mexican,15217,399918,0.0380503003115638,-1
Japanese,14491,399918,0.0362349281602728,-1
Caribbean,13021,399918,0.0325591746307993,-1
Bakery,11948,399918,0.0298761246055441,-1
Spanish,11695,399918,0.0292434949164578,-1
Pizza/Italian,8728,399918,0.0218244740171735,-1
Asian,6255,399918,0.0156407063448006,-1
Delicatessen,6203,399918,0.0155106796893363,-1
Indian,6184,399918,0.0154631699498397,-1
Chicken,6082,399918,0.0152081176641211,-1
Donuts,5614,399918,0.0140378777649418,-1
Jewish/Kosher,5531,399918,0.0138303352187198,-1
Thai,5525,399918,0.0138153321430893,-1
Hamburgers,5424,399918,0.0135627803699758,-1
French,5351,399918,0.0133802429498047,-1
Korean,5168,399918,0.0129226491430743,-1
Sandwiches,4666,399918,0.0116673918153221,-1
Mediterranean,3516,399918,0.0087918023194754,-1
Irish,3238,399918,0.0080966598152621,-1
"Ice Cream, Gelato, Yogurt, Ices",3082,399918,0.007706579848869,-1
"Juice, Smoothies, Fruit Salads",3049,399918,0.0076240629329012,-1
Sandwiches/Salads/Mixed Buffet,2990,399918,0.0074765326892012,-1
Bagels/Pretzels,2795,399918,0.0069889327312098,-1
Seafood,2682,399918,0.0067063748068354,-1
Middle Eastern,2603,399918,0.0065088343110337,-1
Other,2422,399918,0.0060562415295135,-1
Tex-Mex,2420,399918,0.0060512405043033,-1
Greek,2189,399918,0.0054736220925289,-1
Vietnamese/Cambodian/Malaysia,1632,399918,0.0040808365714971,-1
Peruvian,1600,399918,0.0040008201681344,-1
Vegetarian,1582,399918,0.0039558109412429,-1
Russian,1497,399918,0.0037432673698108,-1
African,1426,399918,0.0035657309748498,-1
Steak,1306,399918,0.0032656694622397,-1
Eastern European,1296,399918,0.0032406643361889,-1
Turkish,1227,399918,0.0030681289664381,-1
Soul Food,1160,399918,0.0029005946218974,-1
"Bottled beverages, including water, sodas, juices, etc.",1147,399918,0.0028680879580313,-1
Chinese/Japanese,1017,399918,0.0025430213193704,-1
Continental,919,399918,0.0022979710840722,-1
Bangladeshi,887,399918,0.0022179546807095,-1
Barbecue,858,399918,0.0021454398151621,-1
Salads,769,399918,0.0019228941933096,-1
Pakistani,740,399918,0.0018503793277621,-1
Filipino,663,399918,0.0016578398571707,-1
Creole,631,399918,0.001577823453808,-1
German,577,399918,0.0014427957731334,-1
Soups & Sandwiches,566,399918,0.0014152901344775,-1
Polish,552,399918,0.0013802829580063,-1
Tapas,538,399918,0.0013452757815352,-1
Armenian,484,399918,0.0012102481008606,-1
Brazilian,450,399918,0.0011252306722878,-1
Chinese/Cuban,335,399918,0.0008376717227031,-1
Ethiopian,287,399918,0.0007176471176591,-1
Hotdogs,278,399918,0.0006951425042133,-1
Moroccan,264,399918,0.0006601353277421,-1
Australian,260,399918,0.0006501332773218,-1
English,249,399918,0.0006226276386659,-1
Pancakes/Waffles,244,399918,0.0006101250756405,-1
Afghan,221,399918,0.0005526132857235,-1
Portuguese,181,399918,0.0004525927815202,-1
Egyptian,168,399918,0.0004200861176541,-1
Hawaiian,149,399918,0.0003725763781575,-1
Hotdogs/Pretzels,144,399918,0.0003600738151321,-1
Southwestern,141,399918,0.0003525722773168,-1
Indonesian,138,399918,0.0003450707395015,-1
Cajun,128,399918,0.0003200656134507,-1
Fruits/Vegetables,112,399918,0.0002800574117694,-1
Scandinavian,93,399918,0.0002325476722728,-1
Creole/Cajun,76,399918,0.0001900389579863,-1
Chilean,67,399918,0.0001675343445406,-1
Not Listed/Not Applicable,61,399918,0.0001525312689101,-1
Iranian,49,399918,0.0001225251176491,-1
Polynesian,48,399918,0.000120024605044,-1
Nuts/Confectionary,42,399918,0.0001050215294135,-1
Czech,33,399918,8.25169159677734e-05,-1
Californian,30,399918,7.501537815252126e-05,-1
Soups,29,399918,7.251486554743722e-05,-1
