Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
PH,160441,671205,0.2390342741785296,-1
KE,75825,671205,0.1129684671598096,-1
SV,39875,671205,0.0594080794988118,-1
KH,34836,671205,0.0519006860795137,-1
PK,26857,671205,0.040013110748579,-1
PE,22233,671205,0.0331240083134064,-1
CO,21995,671205,0.0327694221586549,-1
UG,20601,671205,0.0306925603951102,-1
TJ,19580,671205,0.029171415588382,-1
EC,13521,671205,0.0201443672201488,-1
PY,11903,671205,0.0177337773109556,-1
NI,11781,671205,0.0175520146602006,-1
IN,11237,671205,0.0167415320207686,-1
VN,10843,671205,0.0161545280502976,-1
NG,10136,671205,0.0151011985905945,-1
BO,8806,671205,0.0131196877258065,-1
LB,8792,671205,0.0130988297167035,-1
AM,8631,671205,0.0128589626120186,-1
PS,8167,671205,0.0121676685960325,-1
WS,7396,671205,0.0110189882375727,-1
GT,7310,671205,0.0108908604673683,-1
RW,6735,671205,0.010034192236351,-1
ML,6639,671205,0.0098911658882159,-1
HN,6557,671205,0.0097689975491839,-1
ID,6214,671205,0.0092579763261596,-1
US,6093,671205,0.0090777035331977,-1
KG,5774,671205,0.0086024388972072,-1
TG,5749,671205,0.0085651924523804,-1
MX,5741,671205,0.0085532735900358,-1
SL,5415,671205,0.0080675799494938,-1
TZ,5219,671205,0.0077755678220513,-1
GH,4374,671205,0.0065166379869041,-1
JO,4167,671205,0.0062082374237379,-1
ZW,4034,671205,0.0060100863372591,-1
MG,3821,671205,0.0056927466273344,-1
LR,3682,671205,0.0054856563940971,-1
HT,3618,671205,0.0053903054953404,-1
MZ,3483,671205,0.0051891746932755,-1
SN,3269,671205,0.0048703451255577,-1
CD,3073,671205,0.0045783329981153,-1
TL,2690,671205,0.0040077174633681,-1
BF,2460,671205,0.0036650501709611,-1
GE,2409,671205,0.0035890674235144,-1
YE,2313,671205,0.0034460410753793,-1
CM,2230,671205,0.0033223828785542,-1
AZ,1945,671205,0.0028977734075282,-1
AL,1934,671205,0.0028813849718044,-1
MM,1870,671205,0.0027860340730477,-1
TR,1703,671205,0.0025372278216044,-1
EG,1639,671205,0.0024418769228477,-1
CR,1561,671205,0.0023256680149879,-1
LA,1486,671205,0.0022139286805074,-1
XK,1419,671205,0.0021141082083715,-1
MW,1320,671205,0.0019666122868572,-1
IQ,993,671205,0.0014794287885221,-1
MN,964,671205,0.0014362229125229,-1
UA,963,671205,0.0014347330547299,-1
BI,880,671205,0.0013110748579048,-1
ZM,784,671205,0.0011680485097697,-1
NP,717,671205,0.0010682280376338,-1
SB,554,671205,0.0008253812173628,-1
BJ,497,671205,0.0007404593231576,-1
DO,496,671205,0.0007389694653645,-1
LS,422,671205,0.000628719988677,-1
ZA,378,671205,0.0005631662457818,-1
MD,348,671205,0.0005184705119896,-1
BR,284,671205,0.0004231196132329,-1
SR,223,671205,0.0003322382878554,-1
PA,193,671205,0.0002875425540632,-1
IL,190,671205,0.0002830729806839,-1
TH,180,671205,0.0002681744027532,-1
SS,160,671205,0.0002383772468917,-1
CN,134,671205,0.0001996409442718,-1
CG,128,671205,0.0001907017975134,-1
BZ,125,671205,0.0001862322241342,-1
SO,75,671205,0.0001117393344805,-1
PR,68,671205,0.000101310329929,-1
VC,16,671205,2.383772468917842e-05,-1
CL,10,671205,1.4898577930736511e-05,-1
VU,4,671205,5.959431172294605e-06,-1
BT,2,671205,2.9797155861473024e-06,-1
VI,2,671205,2.9797155861473024e-06,-1
AF,2,671205,2.9797155861473024e-06,-1
CI,1,671205,1.4898577930736512e-06,-1
MR,1,671205,1.4898577930736512e-06,-1
GU,1,671205,1.4898577930736512e-06,-1
