Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
W02,33,2150,0.0153488372093023,-1
W10,33,2150,0.0153488372093023,-1
Z04,33,2150,0.0153488372093023,-1
W07,33,2150,0.0153488372093023,-1
Z07,33,2150,0.0153488372093023,-1
Y03,33,2150,0.0153488372093023,-1
Y02,33,2150,0.0153488372093023,-1
W13,33,2150,0.0153488372093023,-1
X08,33,2150,0.0153488372093023,-1
X10,33,2150,0.0153488372093023,-1
Z15,33,2150,0.0153488372093023,-1
X05,33,2150,0.0153488372093023,-1
Z02,33,2150,0.0153488372093023,-1
Z01,33,2150,0.0153488372093023,-1
Z12,33,2150,0.0153488372093023,-1
Z05,33,2150,0.0153488372093023,-1
W09,33,2150,0.0153488372093023,-1
X14,33,2150,0.0153488372093023,-1
X01,33,2150,0.0153488372093023,-1
X13,33,2150,0.0153488372093023,-1
Y15,33,2150,0.0153488372093023,-1
W01,33,2150,0.0153488372093023,-1
Y06,33,2150,0.0153488372093023,-1
Y05,33,2150,0.0153488372093023,-1
W04,33,2150,0.0153488372093023,-1
Y04,33,2150,0.0153488372093023,-1
Y07,33,2150,0.0153488372093023,-1
Y01,33,2150,0.0153488372093023,-1
X04,33,2150,0.0153488372093023,-1
Y10,33,2150,0.0153488372093023,-1
Y09,33,2150,0.0153488372093023,-1
X03,33,2150,0.0153488372093023,-1
Y14,33,2150,0.0153488372093023,-1
X02,33,2150,0.0153488372093023,-1
X11,33,2150,0.0153488372093023,-1
W08,33,2150,0.0153488372093023,-1
Z06,33,2150,0.0153488372093023,-1
X15,33,2150,0.0153488372093023,-1
X09,33,2150,0.0153488372093023,-1
Y08,33,2150,0.0153488372093023,-1
W03,33,2150,0.0153488372093023,-1
W05,33,2150,0.0153488372093023,-1
Y13,33,2150,0.0153488372093023,-1
W06,33,2150,0.0153488372093023,-1
Z08,33,2150,0.0153488372093023,-1
X06,33,2150,0.0153488372093023,-1
Z09,33,2150,0.0153488372093023,-1
Z10,33,2150,0.0153488372093023,-1
W15,33,2150,0.0153488372093023,-1
Z03,33,2150,0.0153488372093023,-1
X07,33,2150,0.0153488372093023,-1
W14,33,2150,0.0153488372093023,-1
Z13,32,2150,0.0148837209302325,-1
W12,32,2150,0.0148837209302325,-1
Z14,32,2150,0.0148837209302325,-1
X12,32,2150,0.0148837209302325,-1
Y12,32,2150,0.0148837209302325,-1
Y11,30,2150,0.013953488372093,-1
Z11,30,2150,0.013953488372093,-1
W11,30,2150,0.013953488372093,-1
Z16,29,2150,0.0134883720930232,-1
X16,28,2150,0.0130232558139534,-1
W16,27,2150,0.0125581395348837,-1
Y16,24,2150,0.0111627906976744,-1
Y16a,9,2150,0.0041860465116279,-1
Y16b,9,2150,0.0041860465116279,-1
W16b,6,2150,0.0027906976744186,-1
W16a,6,2150,0.0027906976744186,-1
X16b,5,2150,0.0023255813953488,-1
X16a,5,2150,0.0023255813953488,-1
Z16a,4,2150,0.001860465116279,-1
Z16b,4,2150,0.001860465116279,-1
Y11a,3,2150,0.0013953488372093,-1
Z11b,3,2150,0.0013953488372093,-1
Y11b,3,2150,0.0013953488372093,-1
Z11a,3,2150,0.0013953488372093,-1
W11b,3,2150,0.0013953488372093,-1
W11a,3,2150,0.0013953488372093,-1
Z13b,1,2150,0.0004651162790697,-1
X12b,1,2150,0.0004651162790697,-1
Z14a,1,2150,0.0004651162790697,-1
Y12a,1,2150,0.0004651162790697,-1
X12a,1,2150,0.0004651162790697,-1
Z13a,1,2150,0.0004651162790697,-1
Y12b,1,2150,0.0004651162790697,-1
W12a,1,2150,0.0004651162790697,-1
Z14b,1,2150,0.0004651162790697,-1
W12b,1,2150,0.0004651162790697,-1
