Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
LTC,1804,610676,0.0029541033215649,-1
NMC,1804,610676,0.0029541033215649,-1
BTC,1804,610676,0.0029541033215649,-1
NVC,1803,610676,0.0029524657920075,-1
PPC,1803,610676,0.0029524657920075,-1
FTC,1799,610676,0.0029459156737779,-1
TRC,1789,610676,0.0029295403782038,-1
BTB,1776,610676,0.0029082524939575,-1
WDC,1765,610676,0.002890239668826,-1
DGC,1761,610676,0.0028836895505963,-1
GLD,1750,610676,0.0028656767254648,-1
YAC,1748,610676,0.00286240166635,-1
XPM,1730,610676,0.0028329261343167,-1
MEC,1729,610676,0.0028312886047593,-1
IFC,1713,610676,0.0028050881318407,-1
ANC,1710,610676,0.0028001755431685,-1
FRC,1706,610676,0.0027936254249389,-1
XRP,1706,610676,0.0027936254249389,-1
IXC,1702,610676,0.0027870753067092,-1
CBX,1701,610676,0.0027854377771518,-1
QRK,1683,610676,0.0027559622451185,-1
PXC,1669,610676,0.0027330368313148,-1
ZET,1665,610676,0.0027264867130851,-1
FST,1638,610676,0.0026822734150351,-1
TAG,1613,610676,0.0026413351760999,-1
ARG,1602,610676,0.0026233223509684,-1
FLO,1591,610676,0.0026053095258369,-1
CSC,1590,610676,0.0026036719962795,-1
NXT,1584,610676,0.002593846818935,-1
DOGE,1573,610676,0.0025758339938035,-1
DEM,1573,610676,0.0025758339938035,-1
SXC,1573,610676,0.0025758339938035,-1
DMD,1567,610676,0.0025660088164591,-1
UNO,1567,610676,0.0025660088164591,-1
NET,1566,610676,0.0025643712869017,-1
EAC,1560,610676,0.0025545461095572,-1
OMNI,1558,610676,0.0025512710504424,-1
TIPS,1556,610676,0.0025479959913276,-1
MOON,1549,610676,0.0025365332844257,-1
SRC,1546,610676,0.0025316206957535,-1
I0C,1545,610676,0.0025299831661961,-1
HBN,1544,610676,0.0025283456366387,-1
VTC,1537,610676,0.0025168829297368,-1
42,1528,610676,0.0025021451637202,-1
DGB,1520,610676,0.0024890449272609,-1
TES,1517,610676,0.0024841323385887,-1
NYAN,1516,610676,0.0024824948090313,-1
RDD,1515,610676,0.0024808572794738,-1
BLC,1514,610676,0.0024792197499164,-1
