Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
155,29,10001,0.0028997100289971,-1
138,28,10001,0.0027997200279972,-1
454,27,10001,0.0026997300269973,-1
249,26,10001,0.0025997400259974,-1
11,26,10001,0.0025997400259974,-1
287,25,10001,0.0024997500249975,-1
506,25,10001,0.0024997500249975,-1
568,25,10001,0.0024997500249975,-1
527,25,10001,0.0024997500249975,-1
291,25,10001,0.0024997500249975,-1
268,25,10001,0.0024997500249975,-1
300,25,10001,0.0024997500249975,-1
294,24,10001,0.0023997600239976,-1
260,24,10001,0.0023997600239976,-1
448,24,10001,0.0023997600239976,-1
524,24,10001,0.0023997600239976,-1
303,24,10001,0.0023997600239976,-1
255,24,10001,0.0023997600239976,-1
386,24,10001,0.0023997600239976,-1
632,24,10001,0.0023997600239976,-1
580,24,10001,0.0023997600239976,-1
285,23,10001,0.0022997700229977,-1
542,23,10001,0.0022997700229977,-1
471,23,10001,0.0022997700229977,-1
569,23,10001,0.0022997700229977,-1
267,23,10001,0.0022997700229977,-1
489,23,10001,0.0022997700229977,-1
532,23,10001,0.0022997700229977,-1
244,23,10001,0.0022997700229977,-1
480,23,10001,0.0022997700229977,-1
6,23,10001,0.0022997700229977,-1
609,23,10001,0.0022997700229977,-1
304,23,10001,0.0022997700229977,-1
572,23,10001,0.0022997700229977,-1
575,23,10001,0.0022997700229977,-1
367,23,10001,0.0022997700229977,-1
474,23,10001,0.0022997700229977,-1
289,22,10001,0.0021997800219978,-1
290,22,10001,0.0021997800219978,-1
10,22,10001,0.0021997800219978,-1
358,22,10001,0.0021997800219978,-1
561,22,10001,0.0021997800219978,-1
434,22,10001,0.0021997800219978,-1
293,22,10001,0.0021997800219978,-1
204,22,10001,0.0021997800219978,-1
606,22,10001,0.0021997800219978,-1
543,22,10001,0.0021997800219978,-1
33,21,10001,0.0020997900209979,-1
292,21,10001,0.0020997900209979,-1
192,21,10001,0.0020997900209979,-1
91,21,10001,0.0020997900209979,-1
98,21,10001,0.0020997900209979,-1
623,21,10001,0.0020997900209979,-1
438,21,10001,0.0020997900209979,-1
556,21,10001,0.0020997900209979,-1
302,21,10001,0.0020997900209979,-1
574,21,10001,0.0020997900209979,-1
252,21,10001,0.0020997900209979,-1
372,21,10001,0.0020997900209979,-1
97,21,10001,0.0020997900209979,-1
314,21,10001,0.0020997900209979,-1
464,21,10001,0.0020997900209979,-1
536,21,10001,0.0020997900209979,-1
462,20,10001,0.001999800019998,-1
614,20,10001,0.001999800019998,-1
437,20,10001,0.001999800019998,-1
510,20,10001,0.001999800019998,-1
193,20,10001,0.001999800019998,-1
374,20,10001,0.001999800019998,-1
58,20,10001,0.001999800019998,-1
578,20,10001,0.001999800019998,-1
622,20,10001,0.001999800019998,-1
485,20,10001,0.001999800019998,-1
554,20,10001,0.001999800019998,-1
440,20,10001,0.001999800019998,-1
211,20,10001,0.001999800019998,-1
341,20,10001,0.001999800019998,-1
461,20,10001,0.001999800019998,-1
522,20,10001,0.001999800019998,-1
521,20,10001,0.001999800019998,-1
432,20,10001,0.001999800019998,-1
96,20,10001,0.001999800019998,-1
233,20,10001,0.001999800019998,-1
445,20,10001,0.001999800019998,-1
250,20,10001,0.001999800019998,-1
228,20,10001,0.001999800019998,-1
247,20,10001,0.001999800019998,-1
382,20,10001,0.001999800019998,-1
178,19,10001,0.0018998100189981,-1
541,19,10001,0.0018998100189981,-1
509,19,10001,0.0018998100189981,-1
550,19,10001,0.0018998100189981,-1
212,19,10001,0.0018998100189981,-1
362,19,10001,0.0018998100189981,-1
460,19,10001,0.0018998100189981,-1
470,19,10001,0.0018998100189981,-1
170,19,10001,0.0018998100189981,-1
133,19,10001,0.0018998100189981,-1
604,19,10001,0.0018998100189981,-1
195,19,10001,0.0018998100189981,-1
566,19,10001,0.0018998100189981,-1
286,19,10001,0.0018998100189981,-1
95,19,10001,0.0018998100189981,-1
