Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Nashville,14779,24591,0.600992232930747,-1
Franklin,1515,24591,0.0616079053312187,-1
Brentwood,850,24591,0.0345654914399577,-1
Murfreesboro,769,24591,0.0312716034321499,-1
Hendersonville,447,24591,0.018177381969013,-1
Antioch,407,24591,0.0165507706071326,-1
Clarksville,389,24591,0.0158187954942865,-1
Hermitage,382,24591,0.0155341385059574,-1
Mount Juliet,372,24591,0.0151274856654873,-1
Smyrna,284,24591,0.0115489406693505,-1
Spring Hill,260,24591,0.0105729738522223,-1
Madison,183,24591,0.0074417469806026,-1
Goodlettsville,157,24591,0.0063844495953804,-1
Chicago,150,24591,0.0060997926070513,-1
La Vergne,143,24591,0.0058151356187222,-1
Lebanon,134,24591,0.0054491480622992,-1
Gallatin,129,24591,0.0052458216420641,-1
Old Hickory,98,24591,0.0039851978366068,-1
Columbia,93,24591,0.0037818714163718,-1
Nolensville,92,24591,0.0037412061323248,-1
Atlanta,89,24591,0.0036192102801838,-1
New York,87,24591,0.0035378797120897,-1
Thompsons Station,74,24591,0.0030092310194786,-1
Bowling Green,67,24591,0.0027245740311496,-1
Knoxville,67,24591,0.0027245740311496,-1
Memphis,49,24591,0.0019925989183034,-1
Chattanooga,48,24591,0.0019519336342564,-1
Springfield,47,24591,0.0019112683502094,-1
Huntsville,43,24591,0.0017486072140213,-1
White House,40,24591,0.0016266113618803,-1
Cookeville,40,24591,0.0016266113618803,-1
Dickson,40,24591,0.0016266113618803,-1
San Francisco,36,24591,0.0014639502256923,-1
Ashland City,35,24591,0.0014232849416453,-1
Fairview,32,24591,0.0013012890895042,-1
Portland,31,24591,0.0012606238054572,-1
Louisville,29,24591,0.0011792932373632,-1
Fort Campbell,26,24591,0.0010572973852222,-1
Washington,26,24591,0.0010572973852222,-1
Kingston Springs,24,24591,0.0009759668171282,-1
Los Angeles,23,24591,0.0009353015330812,-1
Austin,21,24591,0.0008539709649871,-1
Dallas,21,24591,0.0008539709649871,-1
Cincinnati,21,24591,0.0008539709649871,-1
Greenbrier,20,24591,0.0008133056809401,-1
Charlotte,20,24591,0.0008133056809401,-1
College Grove,19,24591,0.0007726403968931,-1
Denver,19,24591,0.0007726403968931,-1
Lewisburg,19,24591,0.0007726403968931,-1
Seattle,18,24591,0.0007319751128461,-1
Birmingham,18,24591,0.0007319751128461,-1
Brooklyn,17,24591,0.0006913098287991,-1
Shelbyville,16,24591,0.0006506445447521,-1
Indianapolis,16,24591,0.0006506445447521,-1
Whites Creek,16,24591,0.0006506445447521,-1
White Bluff,15,24591,0.0006099792607051,-1
Houston,15,24591,0.0006099792607051,-1
Pleasant View,15,24591,0.0006099792607051,-1
Tampa,14,24591,0.0005693139766581,-1
San Diego,14,24591,0.0005693139766581,-1
Orlando,13,24591,0.0005286486926111,-1
Boston,13,24591,0.0005286486926111,-1
Pegram,13,24591,0.0005286486926111,-1
Columbus,12,24591,0.0004879834085641,-1
Fayetteville,12,24591,0.0004879834085641,-1
Arrington,12,24591,0.0004879834085641,-1
Christiana,12,24591,0.0004879834085641,-1
Manchester,11,24591,0.000447318124517,-1
Joelton,11,24591,0.000447318124517,-1
Saint Louis,11,24591,0.000447318124517,-1
Raleigh,11,24591,0.000447318124517,-1
Paris,11,24591,0.000447318124517,-1
Jackson,10,24591,0.00040665284047,-1
Phoenix,10,24591,0.00040665284047,-1
Tullahoma,10,24591,0.00040665284047,-1
Burns,10,24591,0.00040665284047,-1
Chapel Hill,9,24591,0.000365987556423,-1
Rockvale,9,24591,0.000365987556423,-1
Philadelphia,9,24591,0.000365987556423,-1
Woodbury,9,24591,0.000365987556423,-1
Hopkinsville,9,24591,0.000365987556423,-1
Lexington,9,24591,0.000365987556423,-1
Cleveland,8,24591,0.000325322272376,-1
San Jose,8,24591,0.000325322272376,-1
Las Vegas,8,24591,0.000325322272376,-1
Cottontown,8,24591,0.000325322272376,-1
Kansas City,8,24591,0.000325322272376,-1
London,8,24591,0.000325322272376,-1
Bon Aqua,8,24591,0.000325322272376,-1
Alpharetta,8,24591,0.000325322272376,-1
Decatur,7,24591,0.000284656988329,-1
Bethpage,7,24591,0.000284656988329,-1
Pulaski,7,24591,0.000284656988329,-1
Lawrenceburg,7,24591,0.000284656988329,-1
Pittsburgh,7,24591,0.000284656988329,-1
Johnson City,7,24591,0.000284656988329,-1
Murray,7,24591,0.000284656988329,-1
Lascassas,6,24591,0.000243991704282,-1
Boulder,6,24591,0.000243991704282,-1
Jacksonville,6,24591,0.000243991704282,-1
Baltimore,6,24591,0.000243991704282,-1
Fort Lauderdale,6,24591,0.000243991704282,-1
Grand Rapids,6,24591,0.000243991704282,-1
Hixson,6,24591,0.000243991704282,-1
Athens,6,24591,0.000243991704282,-1
Greenville,6,24591,0.000243991704282,-1
Richmond,6,24591,0.000243991704282,-1
Marietta,6,24591,0.000243991704282,-1
Charleston,6,24591,0.000243991704282,-1
Chapmansboro,6,24591,0.000243991704282,-1
Arlington,6,24591,0.000243991704282,-1
Carthage,6,24591,0.000243991704282,-1
Virginia Beach,6,24591,0.000243991704282,-1
Asheville,6,24591,0.000243991704282,-1
Miami,6,24591,0.000243991704282,-1
Crossville,6,24591,0.000243991704282,-1
Roswell,6,24591,0.000243991704282,-1
Monterey,5,24591,0.000203326420235,-1
Norcross,5,24591,0.000203326420235,-1
Durham,5,24591,0.000203326420235,-1
Adams,5,24591,0.000203326420235,-1
Pensacola,5,24591,0.000203326420235,-1
Russellville,5,24591,0.000203326420235,-1
Savannah,5,24591,0.000203326420235,-1
Ann Arbor,5,24591,0.000203326420235,-1
Oak Grove,5,24591,0.000203326420235,-1
Eagleville,5,24591,0.000203326420235,-1
Charlottesville,5,24591,0.000203326420235,-1
Bangalore,5,24591,0.000203326420235,-1
Watertown,5,24591,0.000203326420235,-1
Sarasota,5,24591,0.000203326420235,-1
Englewood,5,24591,0.000203326420235,-1
Mount Pleasant,5,24591,0.000203326420235,-1
Castalian Springs,5,24591,0.000203326420235,-1
Santa Fe,5,24591,0.000203326420235,-1
San Antonio,5,24591,0.000203326420235,-1
Hohenwald,5,24591,0.000203326420235,-1
Detroit,5,24591,0.000203326420235,-1
Cordova,5,24591,0.000203326420235,-1
Hartsville,5,24591,0.000203326420235,-1
Albuquerque,5,24591,0.000203326420235,-1
Oakland,4,24591,0.000162661136188,-1
Santa Monica,4,24591,0.000162661136188,-1
Madisonville,4,24591,0.000162661136188,-1
Duluth,4,24591,0.000162661136188,-1
Minneapolis,4,24591,0.000162661136188,-1
Owensboro,4,24591,0.000162661136188,-1
West Palm Beach,4,24591,0.000162661136188,-1
Ridgetop,4,24591,0.000162661136188,-1
Fosterville,4,24591,0.000162661136188,-1
Salt Lake City,4,24591,0.000162661136188,-1
Dover,4,24591,0.000162661136188,-1
Scottsville,4,24591,0.000162661136188,-1
Bristol,4,24591,0.000162661136188,-1
New Orleans,4,24591,0.000162661136188,-1
Scottsdale,4,24591,0.000162661136188,-1
Alexandria,4,24591,0.000162661136188,-1
Bumpus Mills,4,24591,0.000162661136188,-1
Glasgow,4,24591,0.000162661136188,-1
Saint Petersburg,4,24591,0.000162661136188,-1
Cumming,4,24591,0.000162661136188,-1
Aurora,4,24591,0.000162661136188,-1
Mc Minnville,4,24591,0.000162661136188,-1
Pune,4,24591,0.000162661136188,-1
Burlington,4,24591,0.000162661136188,-1
Cross Plains,4,24591,0.000162661136188,-1
Fairfax,4,24591,0.000162661136188,-1
Gilbert,4,24591,0.000162661136188,-1
Wilmington,4,24591,0.000162661136188,-1
Dayton,4,24591,0.000162661136188,-1
Maryville,4,24591,0.000162661136188,-1
Tucson,4,24591,0.000162661136188,-1
Evansville,4,24591,0.000162661136188,-1
Rochester,3,24591,0.000121995852141,-1
Beechgrove,3,24591,0.000121995852141,-1
Kingsport,3,24591,0.000121995852141,-1
Toronto,3,24591,0.000121995852141,-1
Lakewood,3,24591,0.000121995852141,-1
Mountain View,3,24591,0.000121995852141,-1
Little Rock,3,24591,0.000121995852141,-1
Woodlawn,3,24591,0.000121995852141,-1
Saint Paul,3,24591,0.000121995852141,-1
Augusta,3,24591,0.000121995852141,-1
Lynnville,3,24591,0.000121995852141,-1
Bell Buckle,3,24591,0.000121995852141,-1
Downers Grove,3,24591,0.000121995852141,-1
Marion,3,24591,0.000121995852141,-1
Ethridge,3,24591,0.000121995852141,-1
Carmel,3,24591,0.000121995852141,-1
Evanston,3,24591,0.000121995852141,-1
Peoria,3,24591,0.000121995852141,-1
Lafayette,3,24591,0.000121995852141,-1
Ardmore,3,24591,0.000121995852141,-1
Potwin,3,24591,0.000121995852141,-1
Albany,3,24591,0.000121995852141,-1
Calgary,3,24591,0.000121995852141,-1
Lyles,3,24591,0.000121995852141,-1
Barcelona,3,24591,0.000121995852141,-1
Sevierville,3,24591,0.000121995852141,-1
Paducah,3,24591,0.000121995852141,-1
Naperville,3,24591,0.000121995852141,-1
Irving,3,24591,0.000121995852141,-1
Newark,3,24591,0.000121995852141,-1
Tennessee Ridge,3,24591,0.000121995852141,-1
Anchorage,3,24591,0.000121995852141,-1
Bradenton,3,24591,0.000121995852141,-1
Boone,3,24591,0.000121995852141,-1
Collierville,3,24591,0.000121995852141,-1
Cambridge,3,24591,0.000121995852141,-1
Smithville,3,24591,0.000121995852141,-1
Bronx,3,24591,0.000121995852141,-1
Colorado Springs,3,24591,0.000121995852141,-1
Sherman Oaks,3,24591,0.000121995852141,-1
Rockville,3,24591,0.000121995852141,-1
Lancaster,3,24591,0.000121995852141,-1
Centerville,3,24591,0.000121995852141,-1
Culleoka,3,24591,0.000121995852141,-1
Santa Rosa Beach,3,24591,0.000121995852141,-1
Sydney,3,24591,0.000121995852141,-1
Milton,3,24591,0.000121995852141,-1
Tempe,3,24591,0.000121995852141,-1
Hermosa Beach,3,24591,0.000121995852141,-1
Jersey City,3,24591,0.000121995852141,-1
Winchester,3,24591,0.000121995852141,-1
Gaithersburg,2,24591,8.133056809401814e-05,-1
Dublin,2,24591,8.133056809401814e-05,-1
Whitwell,2,24591,8.133056809401814e-05,-1
Reston,2,24591,8.133056809401814e-05,-1
Livingston,2,24591,8.133056809401814e-05,-1
Altamonte Springs,2,24591,8.133056809401814e-05,-1
Henderson,2,24591,8.133056809401814e-05,-1
Sterling Heights,2,24591,8.133056809401814e-05,-1
Southside,2,24591,8.133056809401814e-05,-1
Leitchfield,2,24591,8.133056809401814e-05,-1
Gadsden,2,24591,8.133056809401814e-05,-1
Youngstown,2,24591,8.133056809401814e-05,-1
Lenoir City,2,24591,8.133056809401814e-05,-1
Winston Salem,2,24591,8.133056809401814e-05,-1
Dubai,2,24591,8.133056809401814e-05,-1
Montgomery,2,24591,8.133056809401814e-05,-1
Montclair,2,24591,8.133056809401814e-05,-1
Gladeville,2,24591,8.133056809401814e-05,-1
Parsons,2,24591,8.133056809401814e-05,-1
Big Rock,2,24591,8.133056809401814e-05,-1
Seoul,2,24591,8.133056809401814e-05,-1
Monteagle,2,24591,8.133056809401814e-05,-1
Frankfort,2,24591,8.133056809401814e-05,-1
Lawrenceville,2,24591,8.133056809401814e-05,-1
Dnipropetrovs'k,2,24591,8.133056809401814e-05,-1
West Point,2,24591,8.133056809401814e-05,-1
New Egypt,2,24591,8.133056809401814e-05,-1
Melbourne,2,24591,8.133056809401814e-05,-1
Stewart,2,24591,8.133056809401814e-05,-1
Cave Creek,2,24591,8.133056809401814e-05,-1
Jamestown,2,24591,8.133056809401814e-05,-1
Pinner,2,24591,8.133056809401814e-05,-1
Tuscaloosa,2,24591,8.133056809401814e-05,-1
Anaheim,2,24591,8.133056809401814e-05,-1
Waltham,2,24591,8.133056809401814e-05,-1
Lookout Mountain,2,24591,8.133056809401814e-05,-1
Saratoga Springs,2,24591,8.133056809401814e-05,-1
Petersburg,2,24591,8.133056809401814e-05,-1
Singapore,2,24591,8.133056809401814e-05,-1
Laguna Beach,2,24591,8.133056809401814e-05,-1
Saint Augustine,2,24591,8.133056809401814e-05,-1
Cunningham,2,24591,8.133056809401814e-05,-1
Opelika,2,24591,8.133056809401814e-05,-1
Albertville,2,24591,8.133056809401814e-05,-1
Cypress,2,24591,8.133056809401814e-05,-1
Rio de Janeiro,2,24591,8.133056809401814e-05,-1
Rogers,2,24591,8.133056809401814e-05,-1
Normal,2,24591,8.133056809401814e-05,-1
Mitchellville,2,24591,8.133056809401814e-05,-1
Basel,2,24591,8.133056809401814e-05,-1
Pompano Beach,2,24591,8.133056809401814e-05,-1
Thousand Oaks,2,24591,8.133056809401814e-05,-1
Waverly,2,24591,8.133056809401814e-05,-1
Newnan,2,24591,8.133056809401814e-05,-1
Lansing,2,24591,8.133056809401814e-05,-1
Fort Oglethorpe,2,24591,8.133056809401814e-05,-1
Burbank,2,24591,8.133056809401814e-05,-1
La Mesa,2,24591,8.133056809401814e-05,-1
Kingston,2,24591,8.133056809401814e-05,-1
Vancouver,2,24591,8.133056809401814e-05,-1
Hyderabad,2,24591,8.133056809401814e-05,-1
Easthampton,2,24591,8.133056809401814e-05,-1
Redding,2,24591,8.133056809401814e-05,-1
Salem,2,24591,8.133056809401814e-05,-1
Fort Mill,2,24591,8.133056809401814e-05,-1
State College,2,24591,8.133056809401814e-05,-1
Sparta,2,24591,8.133056809401814e-05,-1
Lincoln Park,2,24591,8.133056809401814e-05,-1
Federal Way,2,24591,8.133056809401814e-05,-1
Celina,2,24591,8.133056809401814e-05,-1
Gordonsville,2,24591,8.133056809401814e-05,-1
Lowell,2,24591,8.133056809401814e-05,-1
Elkton,2,24591,8.133056809401814e-05,-1
Bradyville,2,24591,8.133056809401814e-05,-1
Summertown,2,24591,8.133056809401814e-05,-1
Westmoreland,2,24591,8.133056809401814e-05,-1
Broomfield,2,24591,8.133056809401814e-05,-1
Fort Myers,2,24591,8.133056809401814e-05,-1
Brandon,2,24591,8.133056809401814e-05,-1
Dowelltown,2,24591,8.133056809401814e-05,-1
Hollywood,2,24591,8.133056809401814e-05,-1
