Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
E_SM,222,11106,0.0199891950297136,-1
E_MPCSM,220,11106,0.0198091121916081,-1
E_PQREV,182,11106,0.016387538267603,-1
E_QREV,182,11106,0.016387538267603,-1
E_IM,68,11106,0.0061228164955879,-1
E_MPCIM,66,11106,0.0059427336574824,-1
E_IR,66,11106,0.0059427336574824,-1
E_218,52,11106,0.0046821537907437,-1
E_102,52,11106,0.0046821537907437,-1
E_301,52,11106,0.0046821537907437,-1
E_D119,52,11106,0.0046821537907437,-1
E_328,52,11106,0.0046821537907437,-1
E_D123,52,11106,0.0046821537907437,-1
E_115,52,11106,0.0046821537907437,-1
E_316,52,11106,0.0046821537907437,-1
E_D304,52,11106,0.0046821537907437,-1
E_D114,52,11106,0.0046821537907437,-1
E_219,52,11106,0.0046821537907437,-1
E_D326,52,11106,0.0046821537907437,-1
E_D110,52,11106,0.0046821537907437,-1
E_223,52,11106,0.0046821537907437,-1
E_202,52,11106,0.0046821537907437,-1
E_216,52,11106,0.0046821537907437,-1
E_310,52,11106,0.0046821537907437,-1
E_D319,52,11106,0.0046821537907437,-1
E_NIRB,52,11106,0.0046821537907437,-1
E_320,52,11106,0.0046821537907437,-1
E_TL,52,11106,0.0046821537907437,-1
E_D213,52,11106,0.0046821537907437,-1
E_104,52,11106,0.0046821537907437,-1
E_105,52,11106,0.0046821537907437,-1
E_NWC,52,11106,0.0046821537907437,-1
E_TCASH,52,11106,0.0046821537907437,-1
E_101,52,11106,0.0046821537907437,-1
E_D313,52,11106,0.0046821537907437,-1
E_D210,52,11106,0.0046821537907437,-1
E_111,52,11106,0.0046821537907437,-1
E_120,52,11106,0.0046821537907437,-1
E_322,52,11106,0.0046821537907437,-1
E_103,52,11106,0.0046821537907437,-1
E_TCL,52,11106,0.0046821537907437,-1
E_201,52,11106,0.0046821537907437,-1
E_306,52,11106,0.0046821537907437,-1
E_215,52,11106,0.0046821537907437,-1
E_217,52,11106,0.0046821537907437,-1
E_D315,52,11106,0.0046821537907437,-1
E_TCA,52,11106,0.0046821537907437,-1
E_D222,52,11106,0.0046821537907437,-1
E_214,52,11106,0.0046821537907437,-1
E_TCASH2,52,11106,0.0046821537907437,-1
E_327,52,11106,0.0046821537907437,-1
E_D309,52,11106,0.0046821537907437,-1
E_D122,52,11106,0.0046821537907437,-1
E_PQEXP,51,11106,0.0045921123716909,-1
E_QEXP,51,11106,0.0045921123716909,-1
E_TOTAL,45,11106,0.0040518638573743,-1
E_T,38,11106,0.003421573924005,-1
E_HHD,34,11106,0.0030614082477939,-1
E_PHHD,34,11106,0.0030614082477939,-1
E_BUS,34,11106,0.0030614082477939,-1
E_GOV,34,11106,0.0030614082477939,-1
E_PGOV,34,11106,0.0030614082477939,-1
E_PBUS,34,11106,0.0030614082477939,-1
E_SINGLE,30,11106,0.0027012425715829,-1
E_P,30,11106,0.0027012425715829,-1
E_V,28,11106,0.0025211597334774,-1
E_MPCT,19,11106,0.0017107869620025,-1
E_IN,15,11106,0.0013506212857914,-1
E_PL,15,11106,0.0013506212857914,-1
E_PR,15,11106,0.0013506212857914,-1
E_MPCP,15,11106,0.0013506212857914,-1
E_MPCV,14,11106,0.0012605798667387,-1
E_INPAT,12,11106,0.0010804970286331,-1
E_PINPAT,12,11106,0.0010804970286331,-1
E_PDISC,12,11106,0.0010804970286331,-1
E_DISC,12,11106,0.0010804970286331,-1
E_MULTI,6,11106,0.0005402485143165,-1
E_PEOTH,3,11106,0.0002701242571582,-1
E_EOTH,3,11106,0.0002701242571582,-1
E_PADM,3,11106,0.0002701242571582,-1
E_ADM,3,11106,0.0002701242571582,-1
E_COMPED,2,11106,0.0001800828381055,-1
E_UNDERC,2,11106,0.0001800828381055,-1
E_NOTSTD,2,11106,0.0001800828381055,-1
E_HVR,1,11106,9.004141905276428e-05,-1
E_AVERAG,1,11106,9.004141905276428e-05,-1
E_HOR,1,11106,9.004141905276428e-05,-1
E_MONSUP,1,11106,9.004141905276428e-05,-1
E_MEDIAN,1,11106,9.004141905276428e-05,-1
E_RVR,1,11106,9.004141905276428e-05,-1
E_MMTHS,1,11106,9.004141905276428e-05,-1
