Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
1 family dwelling,46766,198900,0.2351231774761186,-1
apartments,40798,198900,0.2051181498240321,-1
office,24616,198900,0.1237606837606837,-1
2 family dwelling,20987,198900,0.1055153343388637,-1
retail sales,6910,198900,0.0347410759175465,-1
food/beverage hndlng,4886,198900,0.0245651080945198,-1
vacant lot,1813,198900,0.0091151332327802,-1
tourist hotel/motel,1665,198900,0.0083710407239819,-1
residential hotel,1020,198900,0.0051282051282051,-1
"warehouse,no frnitur",870,198900,0.0043740573152337,-1
school,674,198900,0.0033886375062845,-1
clinics-medic/dental,581,198900,0.0029210658622423,-1
manufacturing,510,198900,0.0025641025641025,-1
church,467,198900,0.0023479135243841,-1
artist live/work,448,198900,0.002252388134741,-1
lending institution,351,198900,0.0017647058823529,-1
auto repairs,336,198900,0.0016892911010558,-1
health studios & gym,239,198900,0.0012016088486676,-1
theater,219,198900,0.0011010558069381,-1
filling/service stn,218,198900,0.0010960281548516,-1
barber/beauty salon,212,198900,0.0010658622423328,-1
prkng garage/public,207,198900,0.0010407239819004,-1
public assmbly other,196,198900,0.0009854198089492,-1
prkng garage/private,194,198900,0.0009753645047762,-1
workshop commercial,189,198900,0.0009502262443438,-1
recreation bldg,179,198900,0.0008999497234791,-1
museum,146,198900,0.0007340372046254,-1
club,124,198900,0.0006234288587229,-1
storage shed,113,198900,0.0005681246857717,-1
misc group residns.,113,198900,0.0005681246857717,-1
antenna,110,198900,0.0005530417295123,-1
"warehouse, furniture",99,198900,0.000497737556561,-1
laundry/laundromat,99,198900,0.000497737556561,-1
sfpd or sffd station,97,198900,0.0004876822523881,-1
automobile sales,95,198900,0.0004776269482151,-1
nite club,79,198900,0.0003971845148315,-1
massage parlor,78,198900,0.000392156862745,-1
parking lot,76,198900,0.0003821015585721,-1
printing plant,69,198900,0.0003469079939668,-1
power plant,68,198900,0.0003418803418803,-1
dry cleaners,63,198900,0.0003167420814479,-1
animal sale or care,59,198900,0.000296631473102,-1
day care home gt 12,53,198900,0.0002664655605832,-1
social care facility,43,198900,0.0002161890397184,-1
"day care, non-res",41,198900,0.0002061337355455,-1
garment shops,40,198900,0.000201106083459,-1
hospital,38,198900,0.000191050779286,-1
muni carbarn,37,198900,0.0001860231271995,-1
phone xchnge/equip,36,198900,0.0001809954751131,-1
radio & tv stations,35,198900,0.0001759678230266,-1
library,33,198900,0.0001659125188536,-1
moving & storage,30,198900,0.0001508295625942,-1
greenhouse,27,198900,0.0001357466063348,-1
day care center,27,198900,0.0001357466063348,-1
wholesale sales,27,198900,0.0001357466063348,-1
dance hall,24,198900,0.0001206636500754,-1
sound studio,18,198900,9.049773755656108e-05,-1
christmas tree lot,18,198900,9.049773755656108e-05,-1
convalescent home,17,198900,8.547008547008547e-05,-1
mortuary,15,198900,7.541478129713424e-05,-1
nursing home gt 6,13,198900,6.535947712418301e-05,-1
car wash,11,198900,5.530417295123178e-05,-1
building materials,10,198900,5.027652086475616e-05,-1
nursing home non amb,10,198900,5.027652086475616e-05,-1
tower,10,198900,5.027652086475616e-05,-1
nursery(floral),9,198900,4.524886877828054e-05,-1
day care home lt 7,9,198900,4.524886877828054e-05,-1
chemical processing,9,198900,4.524886877828054e-05,-1
adult entertainment,9,198900,4.524886877828054e-05,-1
fence/retaining wall,9,198900,4.524886877828054e-05,-1
amusement center,7,198900,3.5193564605329314e-05,-1
storage tanks,6,198900,3.0165912518853693e-05,-1
jail,6,198900,3.0165912518853693e-05,-1
meat/produce marts,5,198900,2.513826043237808e-05,-1
workshop residential,5,198900,2.513826043237808e-05,-1
swimming pool,5,198900,2.513826043237808e-05,-1
paint store,5,198900,2.513826043237808e-05,-1
accessory cottage,5,198900,2.513826043237808e-05,-1
prson'l svc tutor,5,198900,2.513826043237808e-05,-1
nursing home lte 6,5,198900,2.513826043237808e-05,-1
sign,5,198900,2.513826043237808e-05,-1
day care home 7 - 12,4,198900,2.0110608345902467e-05,-1
r-3(dwg) nursing,4,198900,2.0110608345902467e-05,-1
sewage plant,4,198900,2.0110608345902467e-05,-1
stadium,4,198900,2.0110608345902467e-05,-1
muni driver restroom,3,198900,1.5082956259426846e-05,-1
ambulance service,3,198900,1.5082956259426846e-05,-1
bath house,2,198900,1.0055304172951234e-05,-1
temple,2,198900,1.0055304172951234e-05,-1
roofing materials,1,198900,5.027652086475617e-06,-1
dairies/dairy equip.,1,198900,5.027652086475617e-06,-1
child care,1,198900,5.027652086475617e-06,-1
orphanage,1,198900,5.027652086475617e-06,-1
