Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
1 family dwelling,46346,198900,0.2330115635997989,-1
apartments,43032,198900,0.2163499245852187,-1
office,23962,198900,0.1204725992961287,-1
2 family dwelling,22061,198900,0.1109150326797385,-1
retail sales,5079,198900,0.0255354449472096,-1
food/beverage hndlng,5053,198900,0.0254047259929612,-1
tourist hotel/motel,1601,198900,0.0080492709904474,-1
residential hotel,1002,198900,0.0050377073906485,-1
school,748,198900,0.0037606837606837,-1
clinics-medic/dental,678,198900,0.0034087481146304,-1
"warehouse,no frnitur",674,198900,0.0033886375062845,-1
artist live/work,443,198900,0.0022272498743086,-1
manufacturing,436,198900,0.0021920563097033,-1
church,434,198900,0.0021820010055304,-1
vacant lot,385,198900,0.0019356460532931,-1
health studios & gym,332,198900,0.0016691804927099,-1
barber/beauty salon,258,198900,0.0012971342383107,-1
lending institution,239,198900,0.0012016088486676,-1
auto repairs,239,198900,0.0012016088486676,-1
public assmbly other,228,198900,0.0011463046757164,-1
workshop commercial,219,198900,0.0011010558069381,-1
recreation bldg,207,198900,0.0010407239819004,-1
theater,189,198900,0.0009502262443438,-1
prkng garage/public,175,198900,0.0008798391151332,-1
museum,139,198900,0.0006988436400201,-1
club,125,198900,0.0006284565108094,-1
misc group residns.,119,198900,0.0005982905982905,-1
antenna,115,198900,0.0005781799899446,-1
massage parlor,104,198900,0.0005228758169934,-1
prkng garage/private,102,198900,0.0005128205128205,-1
filling/service stn,99,198900,0.000497737556561,-1
sfpd or sffd station,98,198900,0.0004927099044746,-1
day care home gt 12,83,198900,0.0004172951231774,-1
power plant,82,198900,0.000412267471091,-1
storage shed,79,198900,0.0003971845148315,-1
automobile sales,74,198900,0.0003720462543991,-1
greenhouse,72,198900,0.0003619909502262,-1
parking lot,67,198900,0.0003368526897938,-1
nite club,65,198900,0.0003267973856209,-1
"warehouse, furniture",65,198900,0.0003267973856209,-1
animal sale or care,60,198900,0.0003016591251885,-1
"day care, non-res",59,198900,0.000296631473102,-1
laundry/laundromat,56,198900,0.0002815485168426,-1
social care facility,47,198900,0.0002362996480643,-1
wholesale sales,40,198900,0.000201106083459,-1
day care center,40,198900,0.000201106083459,-1
phone xchnge/equip,38,198900,0.000191050779286,-1
dry cleaners,36,198900,0.0001809954751131,-1
radio & tv stations,36,198900,0.0001809954751131,-1
muni carbarn,35,198900,0.0001759678230266,-1
printing plant,34,198900,0.0001709401709401,-1
library,33,198900,0.0001659125188536,-1
hospital,32,198900,0.0001608848667672,-1
sound studio,28,198900,0.0001407742584213,-1
moving & storage,26,198900,0.0001307189542483,-1
nursery(floral),25,198900,0.0001256913021618,-1
child care,25,198900,0.0001256913021618,-1
garment shops,24,198900,0.0001206636500754,-1
fence/retaining wall,22,198900,0.0001106083459024,-1
dance hall,22,198900,0.0001106083459024,-1
christmas tree lot,18,198900,9.049773755656108e-05,-1
convalescent home,16,198900,8.044243338360987e-05,-1
prson'l svc tutor,15,198900,7.541478129713424e-05,-1
nursing home gt 6,14,198900,7.038712921065863e-05,-1
mortuary,12,198900,6.0331825037707385e-05,-1
nursing home non amb,11,198900,5.530417295123178e-05,-1
day care home lt 7,11,198900,5.530417295123178e-05,-1
day care home 7 - 12,11,198900,5.530417295123178e-05,-1
tower,11,198900,5.530417295123178e-05,-1
workshop residential,10,198900,5.027652086475616e-05,-1
chemical processing,9,198900,4.524886877828054e-05,-1
amusement center,8,198900,4.0221216691804935e-05,-1
building materials,6,198900,3.0165912518853693e-05,-1
jail,6,198900,3.0165912518853693e-05,-1
sign,6,198900,3.0165912518853693e-05,-1
sewage plant,6,198900,3.0165912518853693e-05,-1
paint store,6,198900,3.0165912518853693e-05,-1
swimming pool,6,198900,3.0165912518853693e-05,-1
accessory cottage,5,198900,2.513826043237808e-05,-1
car wash,5,198900,2.513826043237808e-05,-1
muni driver restroom,5,198900,2.513826043237808e-05,-1
storage tanks,5,198900,2.513826043237808e-05,-1
bath house,5,198900,2.513826043237808e-05,-1
adult entertainment,5,198900,2.513826043237808e-05,-1
ambulance service,4,198900,2.0110608345902467e-05,-1
nursing home lte 6,4,198900,2.0110608345902467e-05,-1
r-3(dwg) nursing,4,198900,2.0110608345902467e-05,-1
stadium,3,198900,1.5082956259426846e-05,-1
meat/produce marts,2,198900,1.0055304172951234e-05,-1
temple,2,198900,1.0055304172951234e-05,-1
roofing materials,1,198900,5.027652086475617e-06,-1
not applicable,1,198900,5.027652086475617e-06,-1
dairies/dairy equip.,1,198900,5.027652086475617e-06,-1
orphanage,1,198900,5.027652086475617e-06,-1
