Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
10F,55785,399918,0.1394910956746133,-1
08A,39992,399918,0.100000500102521,-1
02G,27852,399918,0.0696442770768007,-1
04L,27777,399918,0.0694567386314194,-1
06D,26115,399918,0.0653008866817697,-1
06C,25955,399918,0.0649008046649563,-1
10B,22141,399918,0.0553638495891657,-1
02B,19650,399918,0.0491350726899014,-1
04N,19482,399918,0.0487149865722473,-1
04M,9016,399918,0.0225446216474377,-1
04H,8968,399918,0.0224245970423936,-1
06E,8772,399918,0.0219344965717972,-1
06F,7692,399918,0.0192339429583064,-1
04A,7337,399918,0.0183462609835016,-1
06A,7312,399918,0.0182837481683745,-1
10H,6383,399918,0.0159607719582514,-1
09C,4969,399918,0.0124250471346626,-1
08C,4839,399918,0.0120999804960016,-1
15L,4409,399918,0.0110247600758155,-1
02H,4177,399918,0.010444641151436,-1
10I,3879,399918,0.009699488395121,-1
09B,3653,399918,0.009134372546372,-1
05D,3429,399918,0.0085742577228331,-1
04C,3163,399918,0.0079091213698808,-1
22C,3056,399918,0.0076415665211368,-1
16B,3020,399918,0.0075515480673538,-1
04J,2926,399918,0.0073164998824759,-1
10A,2682,399918,0.0067063748068354,-1
06B,2645,399918,0.0066138558404472,-1
10E,2634,399918,0.0065863502017913,-1
04K,2560,399918,0.0064013122690151,-1
10J,2430,399918,0.0060762456303542,-1
20F,2285,399918,0.005713671302617,-1
10D,2274,399918,0.0056861656639611,-1
09A,1434,399918,0.0035857350756905,-1
20D,1229,399918,0.0030731299916482,-1
05H,1184,399918,0.0029606069244195,-1
08B,1092,399918,0.0027305597647517,-1
22A,853,399918,0.0021329372521366,-1
05F,662,399918,0.0016553393445656,-1
15I,648,399918,0.0016203321680944,-1
02C,475,399918,0.0011877434874149,-1
20A,446,399918,0.0011152286218674,-1
10C,439,399918,0.0010977250336318,-1
03A,422,399918,0.0010552163193454,-1
16A,416,399918,0.0010402132437149,-1
22F,312,399918,0.0007801599327862,-1
02A,288,399918,0.0007201476302642,-1
16C,286,399918,0.000715146605054,-1
04D,284,399918,0.0007101455798438,-1
04E,283,399918,0.0007076450672387,-1
05C,259,399918,0.0006476327647167,-1
04O,241,399918,0.0006026235378252,-1
16D,212,399918,0.0005301086722778,-1
20E,195,399918,0.0004875999579913,-1
16E,192,399918,0.0004800984201761,-1
03B,188,399918,0.0004700963697558,-1
18F,173,399918,0.0004325886806795,-1
05E,170,399918,0.0004250871428642,-1
22B,158,399918,0.0003950809916032,-1
02I,157,399918,0.0003925804789981,-1
15J,132,399918,0.000330067663871,-1
15S,124,399918,0.0003100635630304,-1
03C,124,399918,0.0003100635630304,-1
06G,110,399918,0.0002750563865592,-1
15F,108,399918,0.000270055361349,-1
04F,91,399918,0.0002275466470626,-1
15K,89,399918,0.0002225456218524,-1
18D,85,399918,0.0002125435714321,-1
05A,74,399918,0.0001850379327762,-1
22E,71,399918,0.0001775363949609,-1
10G,56,399918,0.0001400287058847,-1
05B,54,399918,0.0001350276806745,-1
15T,51,399918,0.0001275261428592,-1
02D,40,399918,0.0001000205042033,-1
07A,36,399918,9.001845378302552e-05,-1
22G,33,399918,8.25169159677734e-05,-1
04B,29,399918,7.251486554743722e-05,-1
18C,21,399918,5.25107647067649e-05,-1
15E,20,399918,5.001025210168085e-05,-1
03D,16,399918,4.0008201681344674e-05,-1
03E,13,399918,3.250666386609255e-05,-1
06I,9,399918,2.250461344575638e-05,-1
03G,9,399918,2.250461344575638e-05,-1
18B,8,399918,2.0004100840672337e-05,-1
02F,7,399918,1.7503588235588296e-05,-1
06H,7,399918,1.7503588235588296e-05,-1
16F,6,399918,1.5003075630504252e-05,-1
15A,6,399918,1.5003075630504252e-05,-1
04I,6,399918,1.5003075630504252e-05,-1
20B,5,399918,1.2502563025420213e-05,-1
02E,4,399918,1.0002050420336168e-05,-1
03F,4,399918,1.0002050420336168e-05,-1
04G,4,399918,1.0002050420336168e-05,-1
02J,3,399918,7.501537815252127e-06,-1
05I,1,399918,2.500512605084042e-06,-1
15H,1,399918,2.500512605084042e-06,-1
