,index,w1,w2,count1,count2,total1,total2,isDuplicate
0,,Libya,Lesotho,89.0,368.0,48269.0,48269.0,0.0
1,,00850-9846,09830-2602,1.0,1.0,1973.0,1973.0,0.0
2,,a1050000006TnqI,a1050000000wVES,265.0,151.0,4861.0,4861.0,0.0
3,,plus_statistical_discrepancy,imports_of_services,5504.0,7982.0,191325.0,191325.0,0.0
4,,CA-MB CA-SB SB,CA-MB CA-SB CA-SBE CDVBE MBE MOSB SB SBASDB SDVOSB,3781.0,1.0,346018.0,346018.0,0.0
5,,Houston,Fairfax County,16.0,16.0,2720.0,2720.0,0.0
6,,RW,BZ,583.0,168.0,151623.0,151623.0,0.0
7,,Ireland;Isle of Man,China,1.0,13.0,2031.0,2031.0,0.0
8,,OH,ND,66916.0,5717.0,619129.0,619129.0,0.0
9,,Central African Republic,Zambia,3973.0,1289.0,165808.0,165808.0,0.0
10,,Local365 Youth with helmet (age 13-17 riders),Founding Member,97.0,3550.0,649231.0,649231.0,0.0
11,,Utah,Orange County,32.0,16.0,2720.0,2720.0,0.0
12,,DOWNTOWN,MARKHAM,5577.0,62.0,61281.0,61281.0,0.0
13,3936.0,Attorney of Record,ATTORNEY OF RECORD,758.0,129.0,374362.0,374362.0,1.0
14,,equals_gross_national_income,sum_of_compensation_of_employees_and_property_income_from_and_to_the_rest_of_the_world_net,11787.0,9820.0,215337.0,215337.0,0.0
15,3443.0,GOLDEN RETRIEVER CROSS,Golden Retriever Cross,1.0,64.0,82545.0,82545.0,1.0
16,,BMU;CYM;USA,HKG,3.0,41.0,24957.0,24957.0,0.0
17,,New Zealand,Nauru,46.0,46.0,9234.0,9234.0,0.0
18,,Belarus,Singapore,203.0,1944.0,61626.0,61626.0,0.0
19,,Puebla UberBLACK,Quito UberX,3.0,3.0,90287.0,90287.0,0.0
20,,88mph_Africa,GrindstoneXL,5.0,97.0,24933.0,24933.0,0.0
21,,NY,MA,7778.0,7574.0,403984.0,403984.0,0.0
22,576.0,AL,ALABAMA,185.0,107.0,374362.0,374362.0,1.0
23,,Burglary,Larceny,4255.0,22048.0,61281.0,61281.0,0.0
24,,Health Care Technology,Property & Casualty Insurance,1.0,8.0,505.0,505.0,0.0
25,,Macabeo-Moscatel,Vespaiolo,1.0,1.0,129971.0,129971.0,0.0
26,,660,HP4,801.0,1.0,61497.0,61497.0,0.0
27,,Aggravated Assault,Rape,1763.0,188.0,61281.0,61281.0,0.0
28,3900.0,Senior Partner,Sr. Staff Attorney,29.0,5.0,374362.0,374362.0,1.0
29,,COTE D IVOIRE,TURKMENISTAN,5455.0,6.0,884244.0,884244.0,0.0
30,,Northern Metropolitan,Northern Victoria,9557.0,203.0,34857.0,34857.0,0.0
31,,Uzbekistan,Chile,422.0,228.0,151623.0,151623.0,0.0
32,,Morocco,Andorra,368.0,368.0,73646.0,73646.0,0.0
33,,sh,bg,15.0,79.0,85881.0,85881.0,0.0
34,,accessory cottage,day care center,5.0,40.0,198900.0,198900.0,0.0
35,,Barossa,Cirò,342.0,12.0,150930.0,150930.0,0.0
36,,Founders Award,Cinema for Peace Award,1.0,3.0,331.0,331.0,0.0
37,,Botswana,Tunisia,414.0,414.0,80583.0,80583.0,0.0
38,,A single firm services a geographic region,Fleet,328.0,14148.0,346018.0,346018.0,0.0
39,,Arts & Culture,Photography,9.0,5.0,602.0,602.0,0.0
40,,SWEEPING,YARD TRIMMING,72377.0,55716.0,564403.0,564403.0,0.0
41,,"Includes real estate activities; professional, scientific and technical activities; and administrative and support service activities.",Includes Other service activities (S) of ISIC Rev. 4.,2.0,1.0,68023.0,68023.0,0.0
42,,00841-2047,00831-0410,1.0,1.0,1973.0,1973.0,0.0
43,,Community,City,36.0,2233.0,21112.0,21112.0,0.0
44,,VGB;TWN,FRA,2.0,1.0,24957.0,24957.0,0.0
45,,exports_of_goods_and_services,gross_fixed_capital_formation_including_acquisitions_less_disposals_of_valuables,9213.0,9188.0,81106.0,81106.0,0.0
46,,Anne Arundel County,Hernando County,1.0,1.0,910.0,910.0,0.0
47,4489.0,MO,MISSOURI,1617.0,1746.0,374362.0,374362.0,1.0
48,,Education,Manufacturing,1148.0,2647.0,61626.0,61626.0,0.0
49,,Starting,Prep,1.0,30.0,1055.0,1055.0,0.0
50,,NV,UT,9234.0,9630.0,768922.0,768922.0,0.0
51,,Connecticut,South Dakota,4142.0,3886.0,359836.0,359836.0,0.0
52,2765.0,Metropolitan Opera House (at Lincoln Center),Metropolitan Opera House (39th street),1.0,233.0,21607.0,21607.0,1.0
53,,Pyrenees,Pomino,12.0,12.0,129971.0,129971.0,0.0
54,,X16,W15,28.0,33.0,2150.0,2150.0,0.0
55,,Treasure Island,Outer Mission,81.0,2242.0,198900.0,198900.0,0.0
56,,CYM;ARE,JEY;PAN,11.0,2.0,24957.0,24957.0,0.0
57,,District of Columbia,Kansas,1.0,1.0,52.0,52.0,0.0
58,4375.0,Social Media for Social Good,Social Media for Social Change,3.0,7.0,31212.0,31212.0,1.0
59,,Dobro,Dancer; Choreographer,14.0,4.0,56194.0,56194.0,0.0
60,3105.0,DURHAM LEAD,Durham Lead,4.0,217.0,158026.0,158026.0,1.0
61,,COLS,DUBL,250569.0,210089.0,9971582.0,9971582.0,0.0
62,,Upper middle income,Low income,56.0,31.0,263.0,263.0,0.0
63,3973.0,"Attorney, Berry Appleman & Leiden LLP","Attorney, Berry Appleman & Leiden, LLP",37.0,75.0,374362.0,374362.0,1.0
64,,Slovenia,Republic of Ireland,3.0,8.0,4572.0,4572.0,0.0
65,,TANZANIA,SAUDI ARABIA,83.0,66.0,374362.0,374362.0,0.0
66,,Mozambique,Trinidad and Tobago,3.0,35.0,59228.0,59228.0,0.0
67,,Washington,Indiana,7680.0,7385.0,403984.0,403984.0,0.0
68,,Terre Siciliane,Ventoux,85.0,3.0,150930.0,150930.0,0.0
69,,Gap-filled total,Weighted average,71.0,616.0,1518.0,1518.0,0.0
70,303.0,Advertising and PR ServicesBusiness Services - Other,Advertising and PR ServicesBusiness Services - OtherOther/Not Classified,9.0,11.0,22000.0,22000.0,1.0
71,,workshop commercial,1 family dwelling,189.0,46766.0,198900.0,198900.0,0.0
72,,Canada;United Kingdom,Bermuda;Isle of Man,1.0,1.0,2031.0,2031.0,0.0
73,4169.0,Principal & Managing Attorney,Principal and Managing Attorney,9.0,21.0,374362.0,374362.0,1.0
74,4391.0,Art Classes,Art,5.0,329.0,31212.0,31212.0,1.0
75,3916.0,Associate Council,Associate Counsel,1.0,1.0,374362.0,374362.0,1.0
76,,Sewing,Games,8414.0,238.0,671205.0,671205.0,0.0
77,,Minnesota,Florida,1.0,1.0,52.0,52.0,0.0
78,,Morocco,Peru,28.0,16.0,129971.0,129971.0,0.0
79,,7,Papua New Guinea,10.0,422.0,191325.0,191325.0,0.0
80,,TT,TW,209.0,24.0,2483304.0,2483304.0,0.0
81,,21,"9,38",289.0,11.0,223379.0,223379.0,0.0
82,,International Income,Funded Ratio,1.0,1.0,280.0,280.0,0.0
83,4400.0,Writing,write,311.0,2.0,31212.0,31212.0,1.0
84,,Bangladesh,Chad,7.0,21.0,2772.0,2772.0,0.0
85,,New Caledonia,Canada,10.0,7894.0,515738.0,515738.0,0.0
86,,810,141,1524.0,11.0,64618.0,64618.0,0.0
87,,II,VI,95.0,1.0,425.0,425.0,0.0
88,775.0,White & Cream,White/Cream,49.0,82.0,82545.0,82545.0,1.0
89,4499.0,NE,NEBRASKA,587.0,672.0,374362.0,374362.0,1.0
90,,Bosnia and Herzegovina,France,4.0,21098.0,150930.0,150930.0,0.0
91,,snowshoe/ragdoll,snowshoe/domestic shorthair,2.0,1.0,29421.0,29421.0,0.0
92,,00902-1227,00631-0004,1.0,1.0,1351.0,1351.0,0.0
93,,SAUDI ARABIA,FALKLAND ISLANDS,1.0,1.0,1973.0,1973.0,0.0
94,3493.0,JACK RUSSELL TERRIER CROSS,Jack Russell Terrier Cross,10.0,91.0,82545.0,82545.0,1.0
95,4479.0,ME,MAINE,162.0,239.0,374362.0,374362.0,1.0
96,,712,W31,1294.0,2.0,80256.0,80256.0,0.0
97,,"Manufacturing, mining and quarrying and other industrial activities (B+C+D+E)",Other service activities (R+S+T),6554.0,6737.0,320551.0,320551.0,0.0
98,,385,166,11.0,27.0,198900.0,198900.0,0.0
99,,COPD,TOB,52536.0,24568.0,403984.0,403984.0,0.0
100,,"26,33",71,1.0,13.0,223379.0,223379.0,0.0
101,3570.0,Neapolitan Mastiff X,Neopolitan Mastiff X,5.0,2.0,82545.0,82545.0,1.0
102,,bullet,monthly,70728.0,342717.0,671205.0,671205.0,0.0
