,w1,w2,count1,count2,total1,total2,isDuplicate
0,dragon,ghost,27.0,27.0,801.0,801.0,0.0
1,"Includes Arts, entertainment and recreation (R); Other service activities (S) of ISIC Rev. 4.",Footnote,2.0,32.0,68023.0,68023.0,0.0
2,blue cream,apricot,21.0,1.0,29421.0,29421.0,0.0
3,BOISE,MARKHAM,476.0,97.0,73590.0,73590.0,0.0
4,THE BAHAMAS,CARACAS,4.0,1.0,1973.0,1973.0,0.0
5,SLV,BRB,14.0,1.0,2772.0,2772.0,0.0
6,Publishing,Cable & Satellite,5.0,4.0,505.0,505.0,0.0
7,DIA6_0,RPH1_0,4350.0,1625.0,403984.0,403984.0,0.0
8,AU,CA,1880.0,3736.0,108129.0,108129.0,0.0
9,Prin,MultIss,107.0,188.0,1518.0,1518.0,0.0
10,balinese,devon rex,10.0,6.0,29421.0,29421.0,0.0
11,560,361,757.0,1.0,61281.0,61281.0,0.0
12,Sandwiches,Pancakes/Waffles,4666.0,244.0,399918.0,399918.0,0.0
13,BALB,19TH,231849.0,265325.0,9971582.0,9971582.0,0.0
14,WV,GA,4793.0,35580.0,943111.0,943111.0,0.0
15,DSL,Fiber,26715.0,16311.0,943111.0,943111.0,0.0
16,professional_scientific_and_technical_activities_m,mining_and_quarrying_b,11414.0,11610.0,320551.0,320551.0,0.0
17,Mozambique,Nigeria,20.0,97.0,100048.0,100048.0,0.0
18,Curfew,Burglary,211.0,4902.0,70964.0,70964.0,0.0
19,Latvia,Sweden,1373.0,1119.0,68023.0,68023.0,0.0
20,SH,IR,6.0,70.0,11106.0,11106.0,0.0
21,Restroom,Activity Center,1036.0,150.0,5494.0,5494.0,0.0
22,CA-DVBE DVBE,CA-MB CA-SB CA-SBE DBE SB WBE,105.0,2.0,346018.0,346018.0,0.0
23,Nauru,France,412.0,414.0,81106.0,81106.0,0.0
24,HP3,951,1.0,1639.0,73590.0,73590.0,0.0
25,CONC,SHAY,1.0,1.0,46.0,46.0,0.0
26,MONT,UCTY,303165.0,188342.0,9971582.0,9971582.0,0.0
27,Age-adjusted Mean,Per capita alcohol consumption,10875.0,107.0,403984.0,403984.0,0.0
28,YRVAC,TI,5.0,172.0,11106.0,11106.0,0.0
