,w1,w2,count1,count2,total1,total2,isDuplicate
0,Viewbank,viewbank,100.0,1.0,34857.0,34857.0,1.0
1,viewbank,Viewbank,1.0,100.0,34857.0,34857.0,1.0
2,Croydon,croydon,133.0,1.0,34857.0,34857.0,1.0
3,croydon,Croydon,1.0,133.0,34857.0,34857.0,1.0
4,Adelaide,adelaide,360.0,3.0,82545.0,82545.0,1.0
5,adelaide,Adelaide,3.0,360.0,82545.0,82545.0,1.0
6,COROMANDEL VALLEY,COROMANDEL VALLEY,584.0,241.0,82545.0,82545.0,1.0
7,COROMANDEL VALLEY,COROMANDEL VALLEY,241.0,584.0,82545.0,82545.0,1.0
8,SEFTON PARK,Sefton Park,114.0,10.0,82545.0,82545.0,1.0
9,Sefton Park,SEFTON PARK,10.0,114.0,82545.0,82545.0,1.0
10,U.S. dollar,U. S. dollar,15.0,1.0,263.0,263.0,1.0
11,U. S. dollar,U.S. dollar,1.0,15.0,263.0,263.0,1.0
12,AK,ALASKA,67.0,44.0,374362.0,374362.0,1.0
13,ALASKA,AK,44.0,67.0,374362.0,374362.0,1.0
14,AL,ALABAMA,630.0,404.0,374362.0,374362.0,1.0
15,ALABAMA,AL,404.0,630.0,374362.0,374362.0,1.0
16,AR,ARKANSAS,527.0,347.0,374362.0,374362.0,1.0
17,ARKANSAS,AR,347.0,527.0,374362.0,374362.0,1.0
18,AZ,ARIZONA,2153.0,1427.0,374362.0,374362.0,1.0
19,ARIZONA,AZ,1427.0,2153.0,374362.0,374362.0,1.0
20,CA,CALIFORNIA,36103.0,21534.0,374362.0,374362.0,1.0
21,CALIFORNIA,CA,21534.0,36103.0,374362.0,374362.0,1.0
22,CO,COLORADO,1390.0,835.0,374362.0,374362.0,1.0
23,COLORADO,CO,835.0,1390.0,374362.0,374362.0,1.0
24,CT,CONNECTICUT,1967.0,1422.0,374362.0,374362.0,1.0
25,CONNECTICUT,CT,1422.0,1967.0,374362.0,374362.0,1.0
26,DC,DISTRICT OF COLUMBIA,273.0,205.0,374362.0,374362.0,1.0
27,DISTRICT OF COLUMBIA,DC,205.0,273.0,374362.0,374362.0,1.0
28,DE,DELAWARE,633.0,385.0,374362.0,374362.0,1.0
29,DELAWARE,DE,385.0,633.0,374362.0,374362.0,1.0
30,FL,FLORIDA,4669.0,2587.0,374362.0,374362.0,1.0
