w1,w2,count1,count2,total1,total2,isDuplicate,jaccard_1,jaccard_2,jaccard_3,cosine_1,cosine_2,cosine_3,w_levenshtein
libya,lesotho,89.0,368.0,48269.0,48269.0,0.0,0.9,1.0,1.0,0.850928801500014,1.0,1.0,6.0
00850-9846,09830-2602,1.0,1.0,1973.0,1973.0,0.0,0.4444444444444444,0.875,1.0,0.2222222222222221,0.7777777777777778,1.0,6.0
a1050000006tnqi,a1050000000wves,265.0,151.0,4861.0,4861.0,0.0,0.6923076923076923,0.6428571428571428,0.6428571428571428,0.07256088284105133,0.12095092700846743,0.16442725141265035,5.0
plus_statistical_discrepancy,imports_of_services,5504.0,7982.0,191325.0,191325.0,0.0,0.5555555555555556,0.9230769230769231,1.0,0.31309626970449667,0.8769085090206673,1.0,23.0
ca-mb ca-sb sb,ca-mb ca-sb ca-sbe cdvbe mbe mosb sb sbasdb sdvosb,3781.0,1.0,346018.0,346018.0,0.0,0.36363636363636365,0.5909090909090908,0.6666666666666667,0.08899274946556235,0.19007612926594153,0.2795119778697063,36.0
houston,fairfax county,16.0,16.0,2720.0,2720.0,0.0,0.7142857142857143,0.9411764705882353,1.0,0.6071628993408069,0.894590744661054,1.0,12.0
rw,bz,583.0,168.0,151623.0,151623.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
ireland;isle of man,china,1.0,13.0,2031.0,2031.0,0.0,0.8,1.0,1.0,0.5180684026585007,1.0,1.0,17.0
oh,nd,66916.0,5717.0,619129.0,619129.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
central african republic,zambia,3973.0,1289.0,165808.0,165808.0,0.0,0.8,1.0,1.0,0.558738695939086,1.0,1.0,21.0
local365 youth with helmet (age 13-17 riders),founding member,97.0,3550.0,649231.0,649231.0,0.0,0.6785714285714286,0.9433962264150944,1.0,0.495643722775998,0.884272487528431,1.0,37.0
utah,orange county,32.0,16.0,2720.0,2720.0,0.0,0.75,1.0,1.0,0.6361965624455006,1.0,1.0,12.0
downtown,markham,5577.0,62.0,61281.0,61281.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
attorney of record,attorney of record,758.0,129.0,374362.0,374362.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
equals_gross_national_income,sum_of_compensation_of_employees_and_property_income_from_and_to_the_rest_of_the_world_net,11787.0,9820.0,215337.0,215337.0,0.0,0.38095238095238093,0.8266666666666667,0.9157894736842105,0.2062746066806228,0.7466798014475505,0.8346883693666048,75.0
golden retriever cross,golden retriever cross,1.0,64.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmu;cym;usa,hkg,3.0,41.0,24957.0,24957.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
new zealand,nauru,46.0,46.0,9234.0,9234.0,0.0,0.8,1.0,1.0,0.6333206011887156,1.0,1.0,9.0
belarus,singapore,203.0,1944.0,61626.0,61626.0,0.0,0.6666666666666667,1.0,1.0,0.49604736932103044,1.0,1.0,8.0
