w1,w2,count1,count2,total1,total2,isDuplicate,jaccard_1,jaccard_2,jaccard_3,cosine_1,cosine_2,cosine_3,w_levenshtein
south sudan,republic of moldova,72.0,234.0,81106.0,81106.0,0.0,0.736842105263158,1.0,1.0,0.5684830286631543,1.0,1.0,16.0
siberian husky,siberian husky,317.0,376.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"political science teachers, postsecondary","first-line supervisors/managers of helpers, laborers, and material movers, hand",256.0,5.0,374362.0,374362.0,0.0,0.41666666666666663,0.8414634146341463,0.9611650485436893,0.19383928135967365,0.6666666666666667,0.8281040153225516,61.0
computer softwarehealthcare servicesfinancial services,all; construction - residential & commercial/office; engineering services,1.0,3.0,22000.0,22000.0,0.0,0.375,0.7692307692307692,0.8910891089108911,0.10820161243171356,0.48245852873834305,0.7097852537680395,48.0
new hampshire,new mexico,1.0,1.0,52.0,52.0,0.0,0.5714285714285714,0.8333333333333334,0.8823529411764706,0.36987396218739554,0.7113248654051871,0.7867992836443896,7.0
fife,france,54.0,13.0,50000.0,50000.0,0.0,0.7142857142857143,1.0,1.0,0.4999999999999999,1.0,1.0,4.0
laeiszhalle,united states embassy,2.0,1.0,21607.0,21607.0,0.0,0.7333333333333334,1.0,1.0,0.5323902352085876,1.0,1.0,18.0
guatemala,kyrgyzstan,23.0,1.0,2772.0,2772.0,0.0,0.7692307692307692,1.0,1.0,0.627322003750035,1.0,1.0,9.0
uganda shilling,boliviano,48.0,1135.0,227092.0,227092.0,0.0,0.6923076923076923,0.9,1.0,0.44529980377477085,0.8110177634953863,1.0,13.0
industrial manufacturing and processing machinery and accessories,timepieces and jewelry and gemstone products,2920.0,418.0,346018.0,346018.0,0.0,0.19047619047619047,0.7538461538461538,0.9069767441860466,0.17305503336120864,0.5384366003848429,0.7076935888922661,49.0
blue,buff,253.0,4.0,29421.0,29421.0,0.0,0.6,1.0,1.0,0.5917517095361369,1.0,1.0,3.0
storage tanks,parking lot,5.0,67.0,198900.0,198900.0,0.0,0.3846153846153846,1.0,1.0,0.3082855361339254,1.0,1.0,12.0
tan/gold,silver red,8.0,1.0,82545.0,82545.0,0.0,0.8571428571428572,1.0,1.0,0.8110177634953863,1.0,1.0,9.0
annual (cincy red bike),annual plus,51.0,132.0,649231.0,649231.0,0.0,0.7058823529411764,0.7692307692307692,0.8,0.4052452857398784,0.5954800825220548,0.636303516273346,16.0
west of twin peaks,oceanview/merced/ingleside,8739.0,2654.0,198900.0,198900.0,0.0,0.65,0.9210526315789473,1.0,0.514036303531103,0.8599719915971991,1.0,22.0
sakhir,spielburg,1.0,2.0,73.0,73.0,0.0,0.75,1.0,1.0,0.5917517095361369,1.0,1.0,7.0
3,36,1640.0,127.0,225363.0,225363.0,0.0,0.5,1.0,1.0,0.29289321881345254,1.0,1.0,1.0
baku,kent,1.0,1.0,73.0,73.0,0.0,0.8571428571428572,1.0,1.0,0.75,1.0,1.0,4.0
husky,husky,50.0,32.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cajun,pizza,128.0,18754.0,399918.0,399918.0,0.0,0.875,1.0,1.0,0.8309691490542968,1.0,1.0,5.0
network and computer systems administrators,licensing examiners and inspectors,476.0,1.0,374362.0,374362.0,0.0,0.35,0.7818181818181819,0.8939393939393939,0.1911609842066131,0.6333685711083095,0.8067448293690186,29.0
yuulong,torquay,12.0,2752.0,158026.0,158026.0,0.0,0.7,1.0,1.0,0.49604736932103044,1.0,1.0,7.0
15k,05b,89.0,54.0,399918.0,399918.0,0.0,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,2.0
lagotto romagnolo,lagotto romagnolo,14.0,18.0,82545.0,82545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kenya shillings,pula,425.0,128.0,100048.0,100048.0,0.0,0.8461538461538461,1.0,1.0,0.6872283789143878,1.0,1.0,14.0
millions of dollars,ratio,5204.0,136.0,11106.0,11106.0,0.0,0.6666666666666667,0.95,1.0,0.5226039623706685,0.8881966011250105,1.0,17.0
sb,in,554.0,11237.0,671205.0,671205.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
"great hall, city college of new york",great hall - city college,607.0,221.0,806179.0,806179.0,1.0,0.33333333333333337,0.4722222222222222,0.5,0.06651235843492154,0.2434655841639971,0.320561387140456,14.0
