w1,w2,count1,count2,total1,total2,isDuplicate,jaccard_1,jaccard_2,jaccard_3,cosine_1,cosine_2,cosine_3,w_levenshtein
new zealand dollar,new zealand dollar,854.0,66.0,68023.0,68023.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
argentine peso,argentine peso,504.0,376.0,227092.0,227092.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iii,iv,31.0,30.0,425.0,425.0,0.0,0.5,1.0,1.0,0.29289321881345254,1.0,1.0,2.0
other_service_activities,plus_taxes_on_products,2626.0,2232.0,61626.0,61626.0,0.0,0.5294117647058824,0.9473684210526316,1.0,0.4406503563874168,0.9225596907337633,1.0,21.0
new york other,washington other,231.0,534.0,129971.0,129971.0,0.0,0.4285714285714286,0.782608695652174,0.8181818181818181,0.26016996218828414,0.6419425629802835,0.6913933000758161,10.0
152,871,3.0,401.0,61779.0,61779.0,0.0,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,3.0
7251,7251,1.0,1.0,374362.0,374362.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industrials,financials,69.0,64.0,505.0,505.0,0.0,0.5454545454545454,0.7333333333333334,0.8666666666666667,0.28995305319530695,0.5783629786442162,0.7642977396044842,6.0
public administration and defence; compulsory social security,education,1172.0,1081.0,68023.0,68023.0,0.0,0.5263157894736843,0.9333333333333333,0.9523809523809523,0.22051623704604284,0.8285014148574912,0.8523796506084631,55.0
q25langr,q28lovecplusplus,3.0,2.0,452.0,452.0,0.0,0.8125,0.9444444444444444,1.0,0.6659234476094695,0.9175213901157677,1.0,13.0
percent,prevalence,1209.0,52.0,403984.0,403984.0,0.0,0.4444444444444444,0.8461538461538461,1.0,0.16666666666666663,0.7278344730240913,1.0,6.0
indiana,in,666.0,1275.0,374362.0,374362.0,1.0,0.5,0.8333333333333334,1.0,0.21553545944726393,0.5917517095361369,1.0,5.0
al,us,26.0,9468.0,11106.0,11106.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
kuwait,the former yugoslav republic of macedonia,412.0,210.0,80583.0,80583.0,0.0,0.8260869565217391,1.0,1.0,0.68717524519769,1.0,1.0,38.0
cambodia,thailand,567.0,6.0,15736.0,15736.0,0.0,0.7272727272727273,1.0,1.0,0.40000000000000013,1.0,1.0,8.0
exports of goods and services,final consumption expenditure,9213.0,9234.0,81106.0,81106.0,0.0,0.26315789473684215,0.9411764705882353,0.9811320754716981,0.3017027512448246,0.9,0.962962962962963,27.0
normal,fighting,4.0,25.0,801.0,801.0,0.0,0.9090909090909091,1.0,1.0,0.882148869802242,1.0,1.0,8.0
fishing_and_aquaculture,construction,857.0,2756.0,61626.0,61626.0,0.0,0.5882352941176471,1.0,1.0,0.4761772781728164,1.0,1.0,19.0
ita,bgd,148.0,123.0,21477.0,21477.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
belarus,49,1785.0,1.0,320551.0,320551.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
changes_in_inventories,gross_fixed_capital_formation_including_acquisitions_less_disposals_of_valuables,6894.0,9043.0,79422.0,79422.0,0.0,0.4545454545454546,0.9027777777777778,0.978021978021978,0.2563459967190759,0.705005116432633,0.9310299265192445,67.0
wa,washington,8293.0,8820.0,374362.0,374362.0,1.0,0.7777777777777778,0.8888888888888888,1.0,0.5917517095361371,0.6666666666666667,1.0,8.0
