,index,w1,w2,count1,count2,total1,total2,isDuplicate
0,,Wyoming,Nevada,5.0,4.0,910.0,910.0,0.0
1,,43,Malawi,1.0,176.0,215337.0,215337.0,0.0
2,,SOUTH AFRICA,NIGERIA,376.0,433.0,374362.0,374362.0,0.0
3,,HUN,GIN,1519.0,1519.0,401016.0,401016.0,0.0
4,,equals_saving_gross,plus_capital_transfers_from_the_rest_of_the_world,10276.0,5469.0,215337.0,215337.0,0.0
5,,B-FAMILY,I-NO CLASS,3622.0,6.0,571153.0,571153.0,0.0
6,,X10,Y14,33.0,33.0,2150.0,2150.0,0.0
7,,Zanzibar,1,780.0,32.0,68023.0,68023.0,0.0
8,,96367-0049,96799-5258,1.0,1.0,1973.0,1973.0,0.0
9,,972,538,18.0,1.0,198900.0,198900.0,0.0
10,,final_consumption_expenditure,general_government_final_consumption_expenditure,9234.0,9188.0,80583.0,80583.0,0.0
11,,5X,CG,1.0,39.0,24957.0,24957.0,0.0
12,,domestic shorthair/siamese,domestic shorthair,2.0,23720.0,29421.0,29421.0,0.0
13,2985.0,TX,TEXAS,21231.0,24872.0,374362.0,374362.0,1.0
14,3553.0,Maremma Sheepdog,Maremma Sheep Dog,52.0,60.0,82545.0,82545.0,1.0
15,,WYE RIVER,ELLIMINYT,12.0,797.0,158026.0,158026.0,0.0
16,,End,Layer 2 Up,109.0,131.0,1521.0,1521.0,0.0
17,,Luxembourg,Milan,657.0,6687.0,125527.0,125527.0,0.0
18,,MWK,LRD,1319.0,3551.0,671205.0,671205.0,0.0
19,,Smoke-Free Air Act / Initial Inspection,Pre-permit (Operational) / Reopening Inspection,4107.0,609.0,399918.0,399918.0,0.0
20,344.0,Biotechnology/PharmaceuticalsMedical Devices and Supplies,Biotechnology/Pharmaceuticals;Medical Devices and Supplies,3.0,1.0,22000.0,22000.0,1.0
21,,"Taxes on production and imports, less Subsidies",Less: Financial intermediation services indirectly measured (only to be deducted if FISIM is not distributed to uses),8545.0,2324.0,227092.0,227092.0,0.0
22,,mortuary,car wash,15.0,11.0,198900.0,198900.0,0.0
23,627.0,MISSOURI,MO,414.0,639.0,374362.0,374362.0,1.0
24,,013K,025C,1.0,40.0,198900.0,198900.0,0.0
25,,Niagara Peninsula,Clarendon,54.0,23.0,129971.0,129971.0,0.0
26,,CA-SB DBE MBE MOSB SB WBE WOSB,CA-SBE DBE MBE,1.0,3.0,346018.0,346018.0,0.0
27,,Changes in inventories,Adjustment entry to reconcile Net acquisition of financial assets with components.,4294.0,5.0,227092.0,227092.0,0.0
28,,Slovakia,Bulgaria,3.0,77.0,150930.0,150930.0,0.0
29,,Mumbai,Ranchi,85.0,7.0,636.0,636.0,0.0
30,,LA,UT,5.0,4.0,558.0,558.0,0.0
31,,Latvia,Malta,165.0,179.0,8406.0,8406.0,0.0
32,2786.0,Carnegie Hall,Carnegie Chamber Music Hall at Carnegie Hall,6029.0,1.0,21607.0,21607.0,1.0
33,4007.0,COUNSEL,Counsel,26.0,292.0,374362.0,374362.0,1.0
34,,Tunisia,Sweden,46.0,46.0,9234.0,9234.0,0.0
35,,South Africa,Switzerland,1.0,1.0,20.0,20.0,0.0
36,,T094QE,MPCMI,2.0,48.0,11106.0,11106.0,0.0
37,,Bamingui-Bangoran,Savannakhet,1.0,1.0,2772.0,2772.0,0.0
38,,Intact Male Kitten,Intact Male Cat,3401.0,1067.0,29421.0,29421.0,0.0
39,,R1Z5,R1Y8,33.0,33.0,2117.0,2117.0,0.0
40,,Consumer Discretionary,Real Estate,85.0,29.0,505.0,505.0,0.0
41,69.0,MONTANA,MT,19.0,65.0,374362.0,374362.0,1.0
42,,Minnesota,Alabama,1.0,1.0,52.0,52.0,0.0
43,,BULK,INHOUSE - RECYCLING,31111.0,3352.0,564403.0,564403.0,0.0
44,,NY,TX,7778.0,7386.0,403984.0,403984.0,0.0
