index,w1,w2,count1,count2,total1,total2,isDuplicate
,antigua and barbuda,"iran, islamic republic of",15.0,681.0,151623.0,151623.0,0.0
,bahrain grand prix,malaysian grand prix,14.0,19.0,997.0,997.0,0.0
,estadio castelao,stade geoffroy guichard,8.0,6.0,4572.0,4572.0,0.0
4307.0,"teachers and instructors, all other*","teachers and instructors, all other",4.0,28.0,374362.0,374362.0,1.0
594.0,vp of operations,vp operations,1.0,1.0,374362.0,374362.0,1.0
,y07,x12a,33.0,1.0,2117.0,2117.0,0.0
,120,t19,52.0,52.0,11106.0,11106.0,0.0
,ok,ma,1.0,1.0,52.0,52.0,0.0
,017j,064,3.0,455.0,198900.0,198900.0,0.0
,yesno,avgannageadjrate,918.0,832.0,403984.0,403984.0,0.0
,in,tn,209.0,213.0,10621.0,10621.0,0.0
,apache/2.4.17 (unix) openssl/1.0.1e-fips php/5.6.19,nginx/0.7.65,1.0,1.0,1781.0,1781.0,0.0
,ashb,ncon,1.0,1.0,46.0,46.0,0.0
,tanzania - mainland,slovakia,384.0,618.0,61626.0,61626.0,0.0
,% in other assets,% in us bonds,1.0,1.0,280.0,280.0,0.0
,buckman-east,lloyd,931.0,1732.0,80256.0,80256.0,0.0
,fl,ri,26.0,26.0,11106.0,11106.0,0.0
1015.0,doberman x,dobermann x,20.0,35.0,82545.0,82545.0,1.0
,high,medium,434022.0,1399431.0,2799914.0,2799914.0,0.0
,africa,europe and central asia,39926.0,30458.0,151623.0,151623.0,0.0
,british virgin islands,rwanda,35.0,81.0,320551.0,320551.0,0.0
,world,qatar,1519.0,1519.0,401016.0,401016.0,0.0
,forestry_logging_and_related_service_activities_02,electricity_gas_and_water_supply_e,11938.0,44333.0,595971.0,595971.0,0.0
,heusden-zolder,monte-carlo,1.0,1.0,73.0,73.0,0.0
,bowled,run out,1382.0,755.0,150460.0,150460.0,0.0
620.0,cowan miller & lederman,cowan miller and lederman,5.0,1.0,374362.0,374362.0,1.0
,reinstated,suspend,563.0,193.0,198900.0,198900.0,0.0
,371,025d,1.0,8.0,198900.0,198900.0,0.0
,gross_fixed_capital_formation_including_acquisitions_less_disposals_of_valuables,household_consumption_expenditure_including_non_profit_institutions_serving_households,9043.0,9043.0,79422.0,79422.0,0.0
,seychelles,5,462.0,29.0,320551.0,320551.0,0.0
,madagascar,indonesia,8.0,196.0,15736.0,15736.0,0.0
,us dollars,average annual age-adjusted rate,321.0,832.0,403984.0,403984.0,0.0
,burundi,armenia,1.0,1.0,155.0,155.0,0.0
,sdn,ssf,1.0,1.0,269.0,269.0,0.0
,calorie posting / re-inspection,calorie posting / initial inspection,138.0,605.0,399918.0,399918.0,0.0
,560,141,1222.0,13.0,73590.0,73590.0,0.0
,exports_of_goods_and_services,imports_of_goods_and_services,9213.0,9192.0,81106.0,81106.0,0.0
1496.0,danish krone,danish krone,3382.0,249.0,227092.0,227092.0,1.0
,dobro,dizi [bamboo flute],504.0,9.0,806179.0,806179.0,0.0
,sn,kn,1.0,43.0,85881.0,85881.0,0.0
,senegal,nigeria,54.0,97.0,100048.0,100048.0,0.0
170.0,ia,ia,692.0,484.0,374362.0,374362.0,1.0
,tuesday,wednesday,4473.0,3833.0,29421.0,29421.0,0.0
,embr,glen,102449.0,75719.0,3313625.0,3313625.0,0.0
,gresham - powell valley,china/old town,2.0,2239.0,61281.0,61281.0,0.0
,fl,va,970.0,485.0,21112.0,21112.0,0.0
,"iran, islamic republic of",antigua and barbuda,681.0,15.0,151623.0,151623.0,0.0
,cineuphoria awards,"national society of film critics awards, usa",1.0,4.0,331.0,331.0,0.0
,"kilowatts,  thousand","cubic metres, thousand",50229.0,52032.0,1189482.0,1189482.0,0.0
,hungary,former netherlands antilles,414.0,360.0,80583.0,80583.0,0.0
,lane county,deschutes county,1.0,1.0,910.0,910.0,0.0
,dq,md,4831.0,9364.0,387427.0,387427.0,0.0
4275.0,sandy/brown,sandy brown,2.0,2.0,82545.0,82545.0,1.0
,bardolino,mendocino,22.0,454.0,150930.0,150930.0,0.0
,ci,5op,2738.0,3.0,24957.0,24957.0,0.0
,21,w20,2.0,10.0,64618.0,64618.0,0.0
,blr,pre,1.0,1.0,269.0,269.0,0.0
,turkey,"china, people's republic of",414.0,414.0,81106.0,81106.0,0.0
,ghana,pakistan,79.0,919.0,48269.0,48269.0,0.0
,"public health, department of","environmental health hazard assessment, office of",4091.0,424.0,346018.0,346018.0,0.0
,"congo, rep.",aruba,1519.0,1519.0,401016.0,401016.0,0.0
,larceny,runaway,19515.0,1839.0,59853.0,59853.0,0.0
,sabin,foster-powell,262.0,1001.0,70964.0,70964.0,0.0
,west virginia,ct,9.0,8.0,910.0,910.0,0.0
,hayw,ucty,71505.0,60717.0,3313625.0,3313625.0,0.0
1546.0,litas,litas,1104.0,792.0,227092.0,227092.0,1.0
,lesotho,viet nam,270.0,502.0,68023.0,68023.0,0.0
,pk,jo,26857.0,4167.0,671205.0,671205.0,0.0
,ct,mn,8.0,12.0,558.0,558.0,0.0
,o,b-trivial,540641.0,7808.0,571153.0,571153.0,0.0
,human health and social work activities,fishing and aquaculture,1156.0,853.0,61626.0,61626.0,0.0
,6,1,17.0,31.0,215337.0,215337.0,0.0
,brentwd-darlngt,northwest hts,889.0,18.0,61779.0,61779.0,0.0
,bhutan,hungary,208.0,1261.0,100048.0,100048.0,0.0
,national_accounts_gross_fixed_capital_formation,other_depository_corporations_deposit_money_banks_non_monetary_liabilities,13115.0,39313.0,884244.0,884244.0,0.0
,w09,r1w6,33.0,33.0,2117.0,2117.0,0.0
,construction_isic_f,manufacturing_isic_d,9234.0,9192.0,73646.0,73646.0,0.0
,montenegro,mozambique,1.0,1.0,269.0,269.0,0.0
,ct,ny,20943.0,105527.0,240579.0,240579.0,0.0
3892.0,"minnetonka, mn","minnetonka, mn 55343",1.0,1.0,22000.0,22000.0,1.0
,isle of man;panama,isle of man;united kingdom,1.0,5.0,2031.0,2031.0,0.0
,vt,md,26.0,26.0,11106.0,11106.0,0.0
,arson,burglary,317.0,4902.0,70964.0,70964.0,0.0
,tsa,per,1.0,1.0,269.0,269.0,0.0
,lafy,balb,150338.0,238171.0,9971582.0,9971582.0,0.0
,satellite imaging services,implementation activity,14.0,5.0,151623.0,151623.0,0.0
,other_depository_corporations_deposit_money_banks_non_monetary_liabilities,national_accounts_gross_fixed_capital_formation,39313.0,13115.0,884244.0,884244.0,0.0
,b-trivial,o,7808.0,540641.0,571153.0,571153.0,0.0
,asian,american indian or alaska native,253.0,81.0,466566.0,466566.0,0.0
,cabo verde,yemen,46.0,27.0,9234.0,9234.0,0.0
,piedmont,österreichischer sekt,3729.0,66.0,129971.0,129971.0,0.0
,level ii,level i,119625.0,65687.0,374362.0,374362.0,0.0
,social care jobs,finance jobs,1823.0,1793.0,50000.0,50000.0,0.0
,e_pqexp,e_phhd,51.0,34.0,11106.0,11106.0,0.0
,t09,202,54.0,52.0,11106.0,11106.0,0.0
,hi,mi,16.0,80.0,2720.0,2720.0,0.0
30.0,san juan,san juans,395.0,1.0,1351.0,1351.0,1.0
,r2z1,w08,33.0,33.0,2117.0,2117.0,0.0
19.0,hr,hour,781.0,7038.0,374362.0,374362.0,1.0
,south sudan,afghanistan,8.0,46.0,9237.0,9237.0,0.0
,construction,wholesale_retail_trade_repair_of_motor_vehicles_motorcycles_and_personal_and_household_goods,10877.0,5867.0,225363.0,225363.0,0.0
,"6,20",14,90.0,101.0,191325.0,191325.0,0.0
,musical performance,beverages,149.0,2357.0,671205.0,671205.0,0.0
,203,620,1.0,505.0,61779.0,61779.0,0.0
,h,n,89565.0,15187.0,150684.0,150684.0,0.0
,gt,im,118.0,45.0,2483304.0,2483304.0,0.0
,somalia,democratic people's republic of korea,46.0,46.0,9234.0,9234.0,0.0
