,w1,w2,count1,count2,total1,total2,isDuplicate
0,South Sudan,"Hong Kong SAR, China",74.0,34.0,151623.0,151623.0,0.0
1,Norwegian krone,Norwegian krone,3822.0,1323.0,227092.0,227092.0,1.0
2,41,"10,52,53",139.0,11.0,225363.0,225363.0,0.0
3,Court Square Theater,Court Theatre,3.0,2.0,21607.0,21607.0,1.0
4,Worked for private establishment,Employer in own family-operated farm or business,13731.0,2581.0,41544.0,41544.0,0.0
5,Bearded Collie X,Bearded Collie X,4.0,5.0,82545.0,82545.0,1.0
6,SP.DYN.AMRT.MA,IQ.WEF.PORT.XQ,56.0,3.0,373.0,373.0,0.0
7,AZ,WI,11.0,20.0,558.0,558.0,0.0
8,"17,27","14,26",2.0,4.0,227092.0,227092.0,0.0
9,Bichon Frise Cross,BICHON FRISE CROSS,16.0,2.0,82545.0,82545.0,1.0
10,"Core Welfare Indicator Questionnaire Survey (CWIQ), 2011/12","Integrated household survey (IHS), 2012",1.0,13.0,263.0,263.0,0.0
11,Repre,ExtSub,17.0,90.0,1518.0,1518.0,0.0
12,Petit basset Griffon Vendeen,Petit Basset Griffon Vendeen,3.0,2.0,82545.0,82545.0,1.0
13,03/02/2012,16/11/2012,45.0,45.0,8190.0,8190.0,0.0
14,GERMANY,DOMINICAN REPUBLIC,544.0,98.0,374362.0,374362.0,0.0
15,Italian Greyhound X,Italian Greyhound X,4.0,4.0,82545.0,82545.0,1.0
16,Burglary,Larceny,4202.0,21061.0,64618.0,64618.0,0.0
17,"6,8","5,12",1.0,2.0,191325.0,191325.0,0.0
18,InsuranceAccounting and Auditing ServicesFinancial Services,Insurance; Accounting and Auditing Services; Financial Services,2.0,1.0,22000.0,22000.0,1.0
19,manufacturing_d,forestry_logging_and_related_service_activities_02,45974.0,11938.0,595971.0,595971.0,0.0
20,Gardiner,Point,6.0,18.0,34857.0,34857.0,0.0
21,vatu,vatu,41.0,84.0,100048.0,100048.0,1.0
22,N,n,6295.0,877.0,158026.0,158026.0,1.0
23,AR,MS,2.0,2.0,558.0,558.0,0.0
24,Lesotho,State of Palestine,413.0,414.0,81106.0,81106.0,0.0
25,German Shepherd Dog Cross,GERMAN SHEPHERD DOG CROSS,16.0,3.0,82545.0,82545.0,1.0
26,730,951,1068.0,1438.0,64618.0,64618.0,0.0
27,Houston UberBlack,Lima UberX,471.0,185.0,90287.0,90287.0,0.0
28,Stag Hound X,Dachshund Long Haired,4.0,1.0,82545.0,82545.0,0.0
29,ELLIMINYT,WYE RIVER,797.0,12.0,158026.0,158026.0,0.0
30,Euthanasia,Adoption,6080.0,33112.0,78256.0,78256.0,0.0
31,Blue,Blue,414.0,271.0,82545.0,82545.0,1.0
32,Sable Brown,Sable/Brown,1.0,9.0,82545.0,82545.0,1.0
33,Zambia,Bhutan,1.0,1.0,269.0,269.0,0.0
34,Shih-Tzu Cross,SHIH TZU CROSS,54.0,12.0,82545.0,82545.0,1.0
35,LA,UT,5.0,4.0,558.0,558.0,0.0
36,Hocking,None,1.0,1.0,374362.0,374362.0,0.0
37,GNB,gnb,999.0,5.0,463231.0,463231.0,1.0
38,GUM,PAK,647.0,2722.0,463231.0,463231.0,0.0
39,financial_corporations_survey_banking_survey_money,budgetary_central_government_revenue,12200.0,1700.0,884244.0,884244.0,0.0
40,NI,BZ,11781.0,125.0,671205.0,671205.0,0.0
41,Roussanne-Grenache Blanc,Alvarinho,1.0,137.0,129971.0,129971.0,0.0
42,health studios & gym,moving & storage,239.0,30.0,198900.0,198900.0,0.0
43,3913,582,1.0,1.0,374362.0,374362.0,0.0
44,Senior Manager,Microsoft In-House Attorney,15.0,2.0,374362.0,374362.0,0.0
45,LGBT,Games,6.0,20.0,602.0,602.0,0.0
