,w1,w2,count1,count2,total1,total2,isDuplicate
0,agriculture_hunting_forestry_fishing_isic_a_b,total_value_added,9142.0,9234.0,73646.0,73646.0,0.0
1,Attorney,ATTORNEY,103473.0,15691.0,374362.0,374362.0,1.0
2,PT,BR,1.0,613.0,3122.0,3122.0,0.0
3,ASSOCIATE ATTORNEY,Associate Attorney,408.0,10327.0,374362.0,374362.0,1.0
4,Mali,Lithuania,368.0,234.0,79422.0,79422.0,0.0
5,K06,P05,22.0,12.0,1420.0,1420.0,0.0
6,406,406,9.0,6.0,374362.0,374362.0,1.0
7,Forestry and logging (02),Education (P),5418.0,11772.0,320551.0,320551.0,0.0
8,USA,Mexico,15.0,16.0,4572.0,4572.0,0.0
9,General government final consumption expenditure,Gross capital formation,14201.0,14301.0,188939.0,188939.0,0.0
10,1577,1577,11.0,10.0,374362.0,374362.0,1.0
11,PITT,FTVL,72983.0,83757.0,3313625.0,3313625.0,0.0
12,310,D326,52.0,52.0,11106.0,11106.0,0.0
13,Washington,Massachusetts,1.0,1.0,52.0,52.0,0.0
14,North Dakota,Michigan,13.0,252.0,7930.0,7930.0,0.0
15,mw2240.codfw.wmnet,nginx/1.6.3 + Phusion Passenger,1.0,2.0,1781.0,1781.0,0.0
16,40,HP1,1.0,1.0,61497.0,61497.0,0.0
17,Less: Subsidies on products,"Memorandum Item: FISIM, if distributed to uses",1980.0,241.0,61626.0,61626.0,0.0
18,00928-2876,00791-9487,1.0,1.0,1351.0,1351.0,0.0
19,sub_bituminous_coal,coal_tar,5405.0,2245.0,1189482.0,1189482.0,0.0
20,"7,9","3,8",1.0,1.0,258.0,258.0,0.0
21,HAYDEN ISLAND,BEAVERTON - DENNEY WHITFO,755.0,1.0,73590.0,73590.0,0.0
22,1652,1652,3.0,1.0,374362.0,374362.0,1.0
23,6528,6528,1.0,3.0,374362.0,374362.0,1.0
24,ALB,ZWE,1.0,10.0,2772.0,2772.0,0.0
25,Honduras,Luxembourg,368.0,368.0,73646.0,73646.0,0.0
26,OFFICE,BLDG 2,2.0,1.0,198900.0,198900.0,0.0
27,Health,Personal Use,9223.0,36385.0,671205.0,671205.0,0.0
28,5,5,11.0,5.0,374362.0,374362.0,1.0
29,"6,3","8,7",4.0,1.0,258.0,258.0,0.0
30,MYS,LSO,134.0,75.0,21477.0,21477.0,0.0
31,information_and_communication_j,agriculture_forestry_and_fishing_a,14098.0,14447.0,320551.0,320551.0,0.0
32,28,28,4.0,1.0,374362.0,374362.0,1.0
33,4243,4243,18.0,17.0,374362.0,374362.0,1.0
34,WOODLAWN,KING,656.0,1347.0,80256.0,80256.0,0.0
