,w1,w2,count1,count2,total1,total2,isDuplicate
0,Rape,Trespass,258.0,5151.0,82958.0,82958.0,0.0
1,839,412,1.0,13.0,10001.0,10001.0,0.0
2,Russian,South African,2.0,23.0,842.0,842.0,0.0
3,Equipment Information Technology,"Equipment, Mining",7158.0,73.0,151623.0,151623.0,0.0
4,plus_direct_purchases_abroad_by_residents,equals_individual_consumption_expenditure_of_general_government,3944.0,4616.0,100048.0,100048.0,0.0
5,GEO,CRI,296.0,147.0,15736.0,15736.0,0.0
6,OR,NY,254.0,1262.0,21112.0,21112.0,0.0
7,Lowell,Suwanee,2.0,1.0,24591.0,24591.0,0.0
8,OSS,AND,1519.0,1519.0,401016.0,401016.0,0.0
9,RetailTelecommunications ServicesComputer/IT Services,Real Estate/Property ManagementLegal ServicesConstruction - Residential & Commercial/Office,3.0,1.0,22000.0,22000.0,0.0
10,fire,electric,13.0,9.0,801.0,801.0,0.0
11,Malta,Merseyside,23.0,592.0,50000.0,50000.0,0.0
12,buff,orange,4.0,201.0,29421.0,29421.0,0.0
13,PR,US,5635.0,2568.0,403984.0,403984.0,0.0
14,India,Ukraine,8.0,5.0,150930.0,150930.0,0.0
15,Delaware,Montana,13.0,26.0,10621.0,10621.0,0.0
16,E_D122,E_IR,52.0,66.0,11106.0,11106.0,0.0
17,PAL,ROS,1.0,1.0,842.0,842.0,0.0
18,New Mexico,Pennsylvania,1.0,1.0,52.0,52.0,0.0
19,Electrical and Electronic Engineering Technicians,Landscape Architects,5.0,115.0,374362.0,374362.0,0.0
20,South Africa;United Kingdom,British Virgin Islands,1.0,7.0,2031.0,2031.0,0.0
21,exports_of_goods_and_services,final_consumption_expenditure,9213.0,9234.0,81106.0,81106.0,0.0
22,T12,111,52.0,52.0,11106.0,11106.0,0.0
23,Food Market,Patchwork,7091.0,22.0,671205.0,671205.0,0.0
24,Bulgaria,Serbia,7.0,1.0,4572.0,4572.0,0.0
25,Sydenham,Eynesbury,28.0,1.0,34857.0,34857.0,0.0
