,index,w1,w2,count1,count2,total1,total2,isDuplicate
0,0,Viewbank,viewbank,100.0,1.0,34857.0,34857.0,1.0
1,1,viewbank,Viewbank,1.0,100.0,34857.0,34857.0,1.0
2,2,Croydon,croydon,133.0,1.0,34857.0,34857.0,1.0
3,3,croydon,Croydon,1.0,133.0,34857.0,34857.0,1.0
4,4,Adelaide,adelaide,360.0,3.0,82545.0,82545.0,1.0
5,5,adelaide,Adelaide,3.0,360.0,82545.0,82545.0,1.0
6,8,SEFTON PARK,Sefton Park,114.0,10.0,82545.0,82545.0,1.0
7,9,Sefton Park,SEFTON PARK,10.0,114.0,82545.0,82545.0,1.0
8,10,U.S. dollar,U. S. dollar,15.0,1.0,263.0,263.0,1.0
9,11,U. S. dollar,U.S. dollar,1.0,15.0,263.0,263.0,1.0
10,12,AK,ALASKA,67.0,44.0,374362.0,374362.0,1.0
11,13,ALASKA,AK,44.0,67.0,374362.0,374362.0,1.0
12,14,AL,ALABAMA,630.0,404.0,374362.0,374362.0,1.0
13,15,ALABAMA,AL,404.0,630.0,374362.0,374362.0,1.0
14,16,AR,ARKANSAS,527.0,347.0,374362.0,374362.0,1.0
15,17,ARKANSAS,AR,347.0,527.0,374362.0,374362.0,1.0
16,18,AZ,ARIZONA,2153.0,1427.0,374362.0,374362.0,1.0
17,19,ARIZONA,AZ,1427.0,2153.0,374362.0,374362.0,1.0
18,20,CA,CALIFORNIA,36103.0,21534.0,374362.0,374362.0,1.0
19,21,CALIFORNIA,CA,21534.0,36103.0,374362.0,374362.0,1.0
20,22,CO,COLORADO,1390.0,835.0,374362.0,374362.0,1.0
21,23,COLORADO,CO,835.0,1390.0,374362.0,374362.0,1.0
22,24,CT,CONNECTICUT,1967.0,1422.0,374362.0,374362.0,1.0
23,25,CONNECTICUT,CT,1422.0,1967.0,374362.0,374362.0,1.0
24,26,DC,DISTRICT OF COLUMBIA,273.0,205.0,374362.0,374362.0,1.0
25,27,DISTRICT OF COLUMBIA,DC,205.0,273.0,374362.0,374362.0,1.0
26,28,DE,DELAWARE,633.0,385.0,374362.0,374362.0,1.0
27,29,DELAWARE,DE,385.0,633.0,374362.0,374362.0,1.0
28,30,FL,FLORIDA,4669.0,2587.0,374362.0,374362.0,1.0
29,31,FLORIDA,FL,2587.0,4669.0,374362.0,374362.0,1.0
30,32,GA,GEORGIA,4017.0,2375.0,374362.0,374362.0,1.0
31,33,GEORGIA,GA,2375.0,4017.0,374362.0,374362.0,1.0
32,34,GU,GUAM,152.0,54.0,374362.0,374362.0,1.0
33,35,GUAM,GU,54.0,152.0,374362.0,374362.0,1.0
34,36,HI,HAWAII,123.0,87.0,374362.0,374362.0,1.0
35,37,HAWAII,HI,87.0,123.0,374362.0,374362.0,1.0
36,38,IA,IOWA,692.0,484.0,374362.0,374362.0,1.0
37,39,IOWA,IA,484.0,692.0,374362.0,374362.0,1.0
38,40,ID,IDAHO,252.0,111.0,374362.0,374362.0,1.0
39,41,IDAHO,ID,111.0,252.0,374362.0,374362.0,1.0
40,42,IL,ILLINOIS,5940.0,4047.0,374362.0,374362.0,1.0
41,43,ILLINOIS,IL,4047.0,5940.0,374362.0,374362.0,1.0
42,44,IN,INDIANA,1275.0,666.0,374362.0,374362.0,1.0
43,45,INDIANA,IN,666.0,1275.0,374362.0,374362.0,1.0
44,46,KS,KANSAS,877.0,480.0,374362.0,374362.0,1.0
45,47,KANSAS,KS,480.0,877.0,374362.0,374362.0,1.0
46,48,KY,KENTUCKY,518.0,305.0,374362.0,374362.0,1.0
47,49,KENTUCKY,KY,305.0,518.0,374362.0,374362.0,1.0
48,50,LA,LOUISIANA,376.0,269.0,374362.0,374362.0,1.0
49,51,LOUISIANA,LA,269.0,376.0,374362.0,374362.0,1.0
50,52,MA,MASSACHUSETTS,4592.0,2801.0,374362.0,374362.0,1.0
51,53,MASSACHUSETTS,MA,2801.0,4592.0,374362.0,374362.0,1.0
52,54,ME,MAINE,146.0,116.0,374362.0,374362.0,1.0
53,55,MAINE,ME,116.0,146.0,374362.0,374362.0,1.0
54,56,MH,MARSHALL ISLANDS,2.0,1.0,374362.0,374362.0,1.0
55,57,MARSHALL ISLANDS,MH,1.0,2.0,374362.0,374362.0,1.0
56,58,MD,MARYLAND,2322.0,1692.0,374362.0,374362.0,1.0
57,59,MARYLAND,MD,1692.0,2322.0,374362.0,374362.0,1.0
58,60,MI,MICHIGAN,3449.0,1763.0,374362.0,374362.0,1.0
59,61,MICHIGAN,MI,1763.0,3449.0,374362.0,374362.0,1.0
60,62,MN,MINNESOTA,1803.0,1170.0,374362.0,374362.0,1.0
61,63,MINNESOTA,MN,1170.0,1803.0,374362.0,374362.0,1.0
62,64,MS,MISSISSIPPI,186.0,83.0,374362.0,374362.0,1.0
63,65,MISSISSIPPI,MS,83.0,186.0,374362.0,374362.0,1.0
64,66,MO,MISSOURI,1090.0,658.0,374362.0,374362.0,1.0
65,67,MISSOURI,MO,658.0,1090.0,374362.0,374362.0,1.0
66,68,MT,MONTANA,65.0,19.0,374362.0,374362.0,1.0
67,69,MONTANA,MT,19.0,65.0,374362.0,374362.0,1.0
68,70,MP,NORTHERN MARIANA ISLANDS,34.0,5.0,374362.0,374362.0,1.0
69,71,NORTHERN MARIANA ISLANDS,MP,5.0,34.0,374362.0,374362.0,1.0
70,72,NC,NORTH CAROLINA,3699.0,2176.0,374362.0,374362.0,1.0
71,73,NORTH CAROLINA,NC,2176.0,3699.0,374362.0,374362.0,1.0
72,74,ND,NORTH DAKOTA,142.0,92.0,374362.0,374362.0,1.0
73,75,NORTH DAKOTA,ND,92.0,142.0,374362.0,374362.0,1.0
74,76,NE,NEBRASKA,437.0,296.0,374362.0,374362.0,1.0
75,77,NEBRASKA,NE,296.0,437.0,374362.0,374362.0,1.0
76,78,NV,NEVADA,287.0,194.0,374362.0,374362.0,1.0
77,79,NEVADA,NV,194.0,287.0,374362.0,374362.0,1.0
78,80,NH,NEW HAMPSHIRE,519.0,324.0,374362.0,374362.0,1.0
79,81,NEW HAMPSHIRE,NH,324.0,519.0,374362.0,374362.0,1.0
80,82,NJ,NEW JERSEY,10501.0,6918.0,374362.0,374362.0,1.0
81,83,NEW JERSEY,NJ,6918.0,10501.0,374362.0,374362.0,1.0
82,84,NM,NEW MEXICO,321.0,208.0,374362.0,374362.0,1.0
83,85,NEW MEXICO,NM,208.0,321.0,374362.0,374362.0,1.0
84,86,NY,NEW YORK,8051.0,5171.0,374362.0,374362.0,1.0
85,87,NEW YORK,NY,5171.0,8051.0,374362.0,374362.0,1.0
86,88,OH,OHIO,2863.0,1776.0,374362.0,374362.0,1.0
87,89,OHIO,OH,1776.0,2863.0,374362.0,374362.0,1.0
88,90,OK,OKLAHOMA,463.0,233.0,374362.0,374362.0,1.0
89,91,OKLAHOMA,OK,233.0,463.0,374362.0,374362.0,1.0
90,92,OR,OREGON,1757.0,1382.0,374362.0,374362.0,1.0
91,93,OREGON,OR,1382.0,1757.0,374362.0,374362.0,1.0
92,94,PA,PENNSYLVANIA,3567.0,2352.0,374362.0,374362.0,1.0
