,w1,w2,count1,count2,total1,total2,isDuplicate
0,n,N,877.0,877.0,158026.0,158026.0,1.0
1,n,Y,877.0,877.0,158026.0,158026.0,0.0
2,N,n,6295.0,6295.0,158026.0,158026.0,1.0
3,y,N,2260.0,2260.0,158026.0,158026.0,0.0
5,Y,N,16358.0,16358.0,158026.0,158026.0,0.0
6,Y,y,16358.0,16358.0,158026.0,158026.0,1.0
9,y,Y,2260.0,2260.0,158026.0,158026.0,1.0
10,West Midlands,West Midlands (Region),1934.0,1934.0,50000.0,50000.0,1.0
11,Dyfed,Buckinghamshire,39.0,39.0,50000.0,50000.0,0.0
12,West Midlands (Region),West Midlands,441.0,441.0,50000.0,50000.0,1.0
13,Cleveland,Dyfed,181.0,181.0,50000.0,50000.0,0.0
14,Aberdeenshire,Aberdeen,187.0,187.0,50000.0,50000.0,1.0
15,County Derry,Hertfordshire,17.0,17.0,50000.0,50000.0,0.0
17,Renfrewshire,Worcestershire,52.0,52.0,50000.0,50000.0,0.0
18,Ross-shire,Ross-Shire,26.0,26.0,50000.0,50000.0,1.0
19,Glasgow,Inverness-shire,12.0,12.0,50000.0,50000.0,0.0
20,PRK,prk,672.0,672.0,463231.0,463231.0,1.0
21,BRN,GUM,1290.0,1290.0,463231.0,463231.0,0.0
22,ZMB,zmb,1856.0,1856.0,463231.0,463231.0,1.0
23,SMR,ISR,1041.0,1041.0,463231.0,463231.0,0.0
24,RWA,rwa,1753.0,1753.0,463231.0,463231.0,1.0
25,ITA,PAN,3171.0,3171.0,463231.0,463231.0,0.0
26,MEX,mex,2993.0,2993.0,463231.0,463231.0,1.0
27,AND,COM,442.0,442.0,463231.0,463231.0,0.0
28,GNB,gnb,999.0,999.0,463231.0,463231.0,1.0
29,bra,GHA,14.0,14.0,463231.0,463231.0,0.0
30,u,U,13.0,13.0,158026.0,158026.0,1.0
31,f,U,1578.0,1578.0,158026.0,158026.0,0.0
32,m,M,1516.0,1516.0,158026.0,158026.0,1.0
34,U,u,37.0,37.0,158026.0,158026.0,1.0
35,m,f,1516.0,1516.0,158026.0,158026.0,0.0
37,u,M,13.0,13.0,158026.0,158026.0,0.0
38,M,m,7766.0,7766.0,158026.0,158026.0,1.0
39,F,M,8270.0,8270.0,158026.0,158026.0,0.0
40,Cream                                             ,Cream,501.0,501.0,82545.0,82545.0,1.0
41,Chocolate/White                                   ,Ginger,60.0,60.0,82545.0,82545.0,0.0
42,Black/Roan,Black/Roan                                        ,6.0,6.0,82545.0,82545.0,1.0
43,Orange & White,Liver                                             ,8.0,8.0,82545.0,82545.0,0.0
44,Blue                                    ,Blue                                              ,155.0,155.0,82545.0,82545.0,1.0
45,Fawn/Gold                                         ,Red/Sable                                         ,2.0,2.0,82545.0,82545.0,0.0
46,Dark Grey                                         ,Dark Grey,4.0,4.0,82545.0,82545.0,1.0
47,Grey/Blue                                         ,Honey/Tan                                         ,10.0,10.0,82545.0,82545.0,0.0
48,Grey,Grey                                              ,300.0,300.0,82545.0,82545.0,1.0
49,Blond,Light Brown                                       ,3.0,3.0,82545.0,82545.0,0.0
50,Chalkidiki,Halkidiki,3.0,3.0,150930.0,150930.0,1.0
51,Northern Spain,Hungary,4892.0,4892.0,150930.0,150930.0,0.0
52,Tokaji,Tokaj,71.0,71.0,150930.0,150930.0,1.0
53,Plaiurile Drancei,Atlantida,2.0,2.0,150930.0,150930.0,0.0
54,Martinborough,Marlborough,261.0,261.0,150930.0,150930.0,1.0
