,w1,w2,ground_truth,prediction
0,dogue de bordeaux,dogue de bordeaux,1.0,1.0
1,dbrk,deln,0.0,0.0
2,martinborough,wellington,0.0,0.0
3,local365 ($80 plus tax),semester membership (austin b-cycle),0.0,0.0
4,tz,lt,0.0,0.0
5,conc,balb,0.0,0.0
6,wind_electricity,of_which_biodiesel,0.0,0.0
7,620,120,0.0,0.0
8,barber shop,agriculture,0.0,0.0
9,armenia,germany,0.0,0.0
10,recycling - plastic bags,mixed litter,0.0,0.0
11,guinea-bissau,lebanon,0.0,0.0
12,missouri,rhode island,0.0,0.0
13,"expenditure survey/budget survey (es/bs), 2010/11","integrated household survey (ihs), 2013/14",0.0,0.0
14,"attorney at law, partner",attorney at law/partner,1.0,1.0
15,legal assistant,legal assistant,1.0,1.0
16,il,illinois,1.0,1.0
17,brooklyn,ringwood,0.0,0.0
18,portland,burkesville,0.0,0.0
19,linnton,goose hollow,0.0,0.0
20,north beach,noe valley,0.0,0.0
21,fr,es,0.0,0.0
22,includes mining and quarrying.,"refers to import and export, wholesale and retail trades. repair of motor vehicles, motorcycles and personal and households goods are not included.",0.0,0.0
23,"3,6","6,1",0.0,0.0
24,explorer,annual (nashville b-cycle),0.0,0.0
25,senior paralegal,senior paralegal,1.0,1.0
26,dragon,steel,0.0,0.0
27,tr,fo,0.0,0.0
28,nevada,texas,0.0,0.0
29,belize,greenland,0.0,0.0
30,bol,guy,0.0,0.0
31,mg,bz,0.0,0.0
32,irish,indian,0.0,0.0
33,patent_fuel,nuclear_electricity,0.0,0.0
34,priv. eq. expense,beneficiaries,0.0,0.0
35,ar,it,0.0,0.0
36,far southwest,gresham - southwest gresh,0.0,0.0
37,texas,california,0.0,0.0
38,coo/ attorney at law,coo/attorney at law,1.0,1.0
39,natural_gas_liquids,industrial_waste,0.0,0.0
40,oriental sh,domestic shorthair/domestic shorthair,0.0,0.0
41,united kingdom;united states,united states,0.0,0.0
42,mdl,mzn,0.0,0.0
43,taormina international film festival,italian online movie awards (ioma),0.0,0.0
44,clothing,arts,0.0,0.0
45,dz,mr,0.0,0.0
46,fiji,jordan,0.0,0.0
47,information_and_communication,fishing_and_aquaculture,0.0,0.0
48,dachshund cross,dachshund cross,1.0,1.0
49,kurhaus,kurhaus-saal,1.0,0.0
50,lake,daly,0.0,0.0
51,cols,mont,0.0,0.0
52,610,982,0.0,0.0
53,anatolian shepherd,anotolian shepherd,1.0,1.0
54,00783-1751,00604-0322,0.0,0.0
55,laurelhurst,northwest ind,0.0,0.0
56,goose hollow,linnton,0.0,0.0
57,other machine operators and assemblers,faith healers,0.0,0.0
58,us ambassador residence,us ambasador residence,1.0,1.0
59,re,re,1.0,1.0
60,rhode island,wisconsin,0.0,0.0
61,russian ruble,russian rouble,1.0,1.0
62,west virginia,wv,1.0,0.0
63,apache/2.2.26 (unix) mod_ssl/2.2.26 openssl/0.9.8e-fips-rhel5 mod_bwlimited/1.4 php/5.4.26,mw2240.codfw.wmnet,0.0,0.0
64,vi,virgin islands,1.0,1.0
65,curfew,"assault, simple",0.0,0.0
66,republic of moldova,south sudan,0.0,0.0
67,florida,oklahoma,0.0,0.0
68,lawyer,lawyer,1.0,1.0
69,michigan,indiana,0.0,0.0
70,co,he,0.0,0.0
71,gresham - southwest gresh,far southwest,0.0,0.0
72,18d,15f,0.0,0.0
73,minnesota,texas,0.0,0.0
74,sfarts,improv-for-actors,0.0,0.0
75,wdub,civc,0.0,0.0
76,caesars palace grand prix,british grand prix,0.0,0.0
77,"expenditure survey/budget survey (es/bs), 2012","living standards measurement study survey (lsms), 1998",0.0,0.0
78,attorney of record,attorney of record,1.0,1.0
79,i-identifier,b-formula,0.0,0.0
80,lemnos,limnos,1.0,1.0
81,cabell county,dinwiddie county,0.0,0.0
82,eastmoreland,sumner,0.0,0.0
83,manufacturing_isic_d,mining_manufacturing_utilities_isic_c_e,0.0,0.0
84,arizona,new york,0.0,0.0
85,england,ukraine,0.0,0.0
86,recycling - single stream,recycling - comingle,0.0,0.0
87,590,730,0.0,0.0
88,private households with employed persons,"professional, scientific and technical activities",0.0,0.0
89,metric tons,"kilowatt-hours, million",0.0,0.0
90,burglary,curfew,0.0,0.0
91,pennsylvania,pa,1.0,0.0
92,pan,pan,1.0,1.0
93,dog play area,ball field,0.0,0.0
94,uae,usa,0.0,0.0
95,bhutan,jamaica,0.0,0.0
96,north korea,macau,0.0,0.0
97,moldova,ukraine,0.0,0.0
98,pataca,pataca,1.0,1.0
99,q26framelearnspring,q22langprofhaskell,0.0,0.0
100,northwest ind,madison south,0.0,0.0
101,ratio,dollars,0.0,0.0
102,woodstock,beaverton - five oaks,0.0,0.0
103,imports_of_goods_and_services,gross_fixed_capital_formation_including_acquisitions_less_disposals_of_valuables,0.0,0.0
104,"eden prairie, mn 55344","eden prairie, mn",1.0,1.0
105,miller auditorium,"miller theatre, columbia university",1.0,1.0
106,cyprus,senegal,0.0,0.0
107,bannock county,st. lucie county,0.0,0.0
108,cms ccw,state,0.0,0.0
109,"social and personal service activities"". ""","including government services and ngos.""",0.0,0.0
110,egypt,democratic republic of congo,0.0,0.0
111,massachusetts,new york,0.0,0.0
112,field id by non-expert from video,field id by non-expert from video,1.0,1.0
113,st,fa,0.0,0.0
114,rwanda,nigeria,0.0,0.0
115,larceny,burglary,0.0,0.0
116,israel/palestine,georgia/russia/(ossetia),0.0,0.0
117,16,"7,11",0.0,0.0
118,czechoslovakia,antigua and barbuda,0.0,0.0
119,cream/brown,cream & brown,1.0,1.0
120,hayden island,forest park,0.0,0.0
121,t23,810,0.0,0.0
122,trinidad and tobago,spain,0.0,0.0
123,curfew,rape,0.0,0.0
124,rio de janeiro,eastern cape province,0.0,0.0
125,algeria,namibia,0.0,0.0
126,sri lanka,venezuela (bolivarian republic of),0.0,0.0
127,irvington,homestead,0.0,0.0
128,300,961,0.0,0.0
129,"integrated household survey (ihs), 2005/06","1-2-3 survey (1-2-3), 2012/13",0.0,0.0
130,ca-dvbe ca-mb ca-sb dvbe12324 sb,ca-mb ca-sb mbe mosb sb wbe wosb,0.0,0.0
131,28/01/2011,20/07/2012,0.0,0.0
132,avganncrdrate,ageadjmean,0.0,0.0
133,stop_lost&3_prime_utr_variant,inframe_deletion,0.0,0.0
134,parkrose,cully,0.0,0.0
135,euro,euro,1.0,1.0
136,962,110,0.0,0.0
137,angola,uruguay,0.0,0.0
138,silverstone,brussels,0.0,0.0
139,bwa,gnb,0.0,0.0
140,fiji,nicaragua,0.0,0.0
141,"1,6","5,21",0.0,0.0
142,retail; rental services; restaurant/food services,retailrental servicesrestaurant/food services,1.0,1.0
143,elqui valley,galilee,0.0,0.0
144,organizations and clubs,national defense and public order and security and safety services,0.0,0.0
145,apis,legal research,0.0,0.0
146,e_d210,e_mmths,0.0,0.0
147,"wholesale, retail trade, restaurants and hotels (isic g-h)",manufacturing (isic d),0.0,0.0
148,11,myanmar,0.0,0.0
149,peru,central african republic,0.0,0.0
150,2,"29,30",0.0,0.0
151,satellite imaging services,"equipment, mechanical",0.0,0.0
152,skye terrier,skye terrier,1.0,1.0
153,sp.dyn.le00.in,sp.dyn.le00.in,1.0,1.0
154,cultural outings,cultural activities,1.0,1.0
155,hochi film awards,"national board of review, usa",0.0,0.0
156,altesse,ojaleshi,0.0,0.0
157,tur,vgb,0.0,0.0
158,10,29,0.0,0.0
159,euthanasia,transfer,0.0,0.0
160,922,901,0.0,0.0
161,"dry, condensed, and evaporated dairy product manufacturing",masonry contractors,0.0,0.0
162,971,922,0.0,0.0
163,352,850,0.0,0.0
164,irn,irn,1.0,1.0
165,"4,6",4,0.0,0.0
166,south african,canadian,0.0,0.0
167,810,141,0.0,0.0
168,texas,nevada,0.0,0.0
169,portugal,korea republic,0.0,0.0
170,oregon,colorado,0.0,0.0
171,day care home gt 12,fence/retaining wall,0.0,0.0
172,cym;wsm,cym;isr,0.0,0.0
173,exports_of_goods_and_services,exports_of_services,0.0,0.0
174,managing partner,managing partner,1.0,1.0
175,male soprano,atmosphericist,0.0,0.0
176,north dakota,nd,1.0,0.0
177,com,gin,0.0,0.0
178,french,american-italian,0.0,0.0
179,bulgaria,austria,0.0,0.0
180,nevada,tennessee,0.0,0.0
181,concordia,powelhst-gilbrt,0.0,0.0
182,gender,race/ethnicity,0.0,0.0
183,arson,trespass,0.0,0.0
184,final_consumption_expenditure,less_imports_of_goods_and_services,0.0,0.0
185,kidnap,vandalism,0.0,0.0
186,idaho,ben lomond mountain,0.0,0.0
187,layer 1 down,prep,0.0,0.0
188,va,virginia,1.0,0.0
189,mex,sdn,0.0,0.0
190,it services,non-it goods,0.0,0.0
191,financial_corporations_survey_banking_survey_non_monetary_liabilities,other_financial_corporations_other_banking_nonbank_financial_institutions_liabilities_included_in_definition_of_money,0.0,0.0
192,latvia,malta;united kingdom,0.0,0.0
193,ofta film award,jury award,0.0,0.0
194,mrt,afg,0.0,0.0
195,sable/brown,sable brown,1.0,1.0
196,souvenir sales,education provider,0.0,0.0
197,"transportation, department of","highway patrol, california",0.0,0.0
198,smythes creek,smythes creek,1.0,1.0
199,morphological id by res. associate,morphological id b. res. associate,1.0,1.0
200,representative,representative,1.0,1.0
201,ireland,nigeria,0.0,0.0
202,construction,less_financial_intermediation_services_indirectly_measured_fisim,0.0,0.0
203,rhode island,michigan,0.0,0.0
204,ne,nebraska,1.0,1.0
205,pennsylvania,pa,1.0,0.0
206,bmu;cyp;rus,nor,0.0,0.0
207,post_and_telecommunications,public_administration_and_defence_compulsory_social_security,0.0,0.0
208,"foster city, ca 94404","foster city, ca",1.0,1.0
209,pitt,sfia,0.0,0.0
210,00803-8424,96932-1438,0.0,0.0
211,www-womensprosperitynetwork-com-nyc,conscious-capitalism-nyc,0.0,0.0
212,clothing_and_footwear,plus_direct_purchases_abroad_by_residents,0.0,0.0
213,tanzania - mainland,ecuador,0.0,0.0
